algo,sensor_count,map_n,collected_aoi,avg_final_aoi,energy_final,total_distance,visited_count
milp,5,100,89.16666666666667,5.0,26677.243743333333,1110.9007566666667,5.0
milp,5,200,89.16666666666667,5.0,26709.89711,1534.8323566666666,5.0
milp,5,400,89.16666666666667,5.0,27812.418499999996,2018.3908,5.0
milp,5,600,89.16666666666667,5.0,37878.6639,2737.7603,5.0
milp,5,800,89.16666666666667,5.0,46687.12426666667,3110.1649,5.0
milp,5,1000,89.16666666666667,5.0,118356.3745,4389.5495,5.0
milp,10,100,177.63333333333333,10.096666666666666,28394.18201,748.0903099999999,9.0
milp,10,200,177.63333333333333,10.096666666666666,28226.998846666665,1015.3109199999999,9.0
milp,10,400,177.63333333333333,10.096666666666666,29806.930466666665,1485.3301866666666,9.0
milp,10,600,177.63333333333333,10.096666666666666,40564.233146666666,2183.3526266666663,9.0
milp,10,800,177.63333333333333,10.096666666666666,55356.745879999995,2473.8398233333337,9.0
milp,10,1000,177.63333333333333,10.096666666666666,99549.80749,3714.2623366666667,9.0
milp,15,100,268.23333333333335,15.351103333333333,28491.372033333333,723.4798333333333,9.0
milp,15,200,268.3,15.324443333333333,28141.503836666667,1069.33501,9.0
milp,15,400,268.3,15.337773333333333,29640.59523,1391.2565033333333,9.0
milp,15,600,268.23333333333335,15.395536666666667,40969.879226666664,2139.09825,9.0
milp,15,800,268.3,15.382206666666667,51184.12708333333,2561.25493,9.0
milp,15,1000,268.23333333333335,15.391093333333334,76379.90413,3180.78997,9.0
milp,20,100,357.23333333333335,20.461666666666666,28477.531753333333,727.4469933333334,9.0
milp,20,200,357.23333333333335,20.458333333333332,28088.808559999998,1045.02691,9.0
milp,20,400,357.23333333333335,20.478333333333335,30267.964156666665,1371.9800533333332,9.0
milp,20,600,339.6,19.45962666666667,39463.40819,2122.13527,9.0
milp,20,800,357.1666666666667,20.508333333333333,53035.650676666664,2416.980173333333,9.0
milp,20,1000,357.23333333333335,20.495,87361.23108,3186.3441000000003,9.0
milp,25,100,444.4,25.546666666666667,28392.72401,755.10807,9.0
milp,25,200,444.3333333333333,25.538666666666668,28026.224,1029.8017966666666,9.0
