map_n,sensor_count,energy_mean,aoi_mean,distance_mean
100,5,26717.217103333332,5.0,1104.0249366666665
100,10,28409.42614,10.096666666666666,741.7069633333334
100,15,28485.22825,15.324443333333333,729.4453
100,20,28450.269943333333,20.464999999999996,733.0765666666666
100,25,28397.130839999998,25.554666666666666,758.4212566666666
100,30,28249.06405,30.560003333333334,788.4369366666667
200,5,26625.508476666666,5.0,1582.9314066666666
200,10,28207.996763333333,10.096666666666666,1076.93561
200,15,28150.94903,15.346660000000002,1031.99742
200,20,28103.713036666668,20.455,1052.1562266666667
200,25,28063.747263333335,25.533333333333335,1024.90831
200,30,28073.558109999998,30.54667,1057.0293966666666
400,5,27812.418499999996,5.0,2018.3908
400,10,29616.066543333334,10.096666666666666,1522.9046933333334
400,15,30609.314156666667,15.32,1402.03034
400,20,30111.488603333335,20.49833333333333,1341.80267
400,25,29374.555283333335,25.514666666666667,1272.33139
600,5,37878.6639,5.0,2737.7603
600,10,40532.78146333333,10.096666666666666,2188.6339933333334
600,15,41355.453239999995,15.382206666666667,2163.5875533333333
600,20,40045.49643666667,19.452606666666668,2047.9873833333334
600,25,39775.32024666667,25.565333333333335,2013.9995433333336
600,30,37861.05478,30.568896666666667,1940.33181
800,5,46687.12429333334,5.0,3110.1649
800,10,56464.952886666666,10.096666666666666,2486.42959
800,15,48717.23345000001,15.32,2263.6954499999997
800,20,53307.79236666667,20.485,2417.4350833333333
800,25,54631.377316666665,25.549333333333333,2405.57683
800,30,54755.20777,30.579990000000002,2298.31078
1000,5,117549.5608,5.0,4215.4598
1000,10,98726.22670666667,10.096666666666666,3647.7875533333336
1000,15,79424.28399666668,15.351103333333333,3305.5854666666664
1000,20,88120.87573666667,20.481666666666666,3271.2266600000003
1000,25,83165.92528333333,25.546666666666667,3165.7899433333337
1000,30,82587.38970666667,30.579996666666666,3074.8470066666664
