round,sensor_id,aoi_before,aoi_after,visited
1,1,0,17,1
1,2,0,15,1
1,3,0,3,1
1,4,0,11,1
1,5,0,9,1
1,6,0,7,1
1,7,0,5,1
1,8,0,13,1
1,9,0,1,1
1,10,0,19,0
2,1,17,17,1
2,2,15,15,1
2,3,3,3,1
2,4,11,11,1
2,5,9,9,1
2,6,7,7,1
2,7,5,5,1
2,8,13,13,1
2,9,1,1,1
2,10,19,38,0
3,1,17,17,1
3,2,15,15,1
3,3,3,3,1
3,4,11,11,1
3,5,9,9,1
3,6,7,7,1
3,7,5,5,1
3,8,13,13,1
3,9,1,1,1
3,10,38,57,0
4,1,17,17,1
4,2,15,15,1
4,3,3,3,1
4,4,11,11,1
4,5,9,9,1
4,6,7,7,1
4,7,5,5,1
4,8,13,13,1
4,9,1,1,1
4,10,57,76,0
5,1,17,17,1
5,2,15,15,1
5,3,3,3,1
5,4,11,11,1
5,5,9,9,1
5,6,7,7,1
5,7,5,5,1
5,8,13,13,1
5,9,1,1,1
5,10,76,95,0
6,1,17,17,1
6,2,15,15,1
6,3,3,3,1
6,4,11,11,1
6,5,9,9,1
6,6,7,7,1
6,7,5,5,1
6,8,13,13,1
6,9,1,1,1
6,10,95,114,0
7,1,17,17,1
7,2,15,15,1
7,3,3,3,1
7,4,11,11,1
7,5,9,9,1
7,6,7,7,1
7,7,5,5,1
7,8,13,13,1
7,9,1,1,1
7,10,114,133,0
8,1,17,17,1
8,2,15,15,1
8,3,3,3,1
8,4,11,11,1
8,5,9,9,1
8,6,7,7,1
8,7,5,5,1
8,8,13,13,1
8,9,1,1,1
8,10,133,152,0
9,1,17,17,1
9,2,15,15,1
9,3,3,3,1
9,4,11,11,1
9,5,9,9,1
9,6,7,7,1
9,7,5,5,1
9,8,13,13,1
9,9,1,1,1
9,10,152,171,0
10,1,17,17,1
10,2,15,15,1
10,3,3,3,1
10,4,11,11,1
10,5,9,9,1
10,6,7,7,1
10,7,5,5,1
10,8,13,13,1
10,9,1,1,1
10,10,171,190,0
11,1,17,17,1
11,2,15,15,1
11,3,3,3,1
11,4,11,11,1
11,5,9,9,1
11,6,7,7,1
11,7,5,5,1
11,8,13,13,1
11,9,1,1,1
11,10,190,209,0
12,1,17,17,1
12,2,15,15,1
12,3,3,3,1
12,4,11,11,1
12,5,9,9,1
12,6,7,7,1
12,7,5,5,1
12,8,13,13,1
12,9,1,1,1
12,10,209,228,0
13,1,17,17,1
13,2,15,15,1
13,3,3,3,1
13,4,11,11,1
13,5,9,9,1
13,6,7,7,1
13,7,5,5,1
13,8,13,13,1
13,9,1,1,1
13,10,228,247,0
14,1,17,17,1
14,2,15,15,1
14,3,3,3,1
14,4,11,11,1
14,5,9,9,1
14,6,7,7,1
14,7,5,5,1
14,8,13,13,1
14,9,1,1,1
14,10,247,266,0
15,1,17,17,1
15,2,15,15,1
15,3,3,3,1
15,4,11,11,1
15,5,9,9,1
15,6,7,7,1
15,7,5,5,1
15,8,13,13,1
15,9,1,1,1
15,10,266,285,0
16,1,17,17,1
16,2,15,15,1
16,3,3,3,1
16,4,11,11,1
16,5,9,9,1
16,6,7,7,1
16,7,5,5,1
16,8,13,13,1
16,9,1,1,1
16,10,285,304,0
17,1,17,17,1
17,2,15,15,1
17,3,3,3,1
17,4,11,11,1
17,5,9,9,1
17,6,7,7,1
17,7,5,5,1
17,8,13,13,1
17,9,1,1,1
17,10,304,323,0
18,1,17,17,1
18,2,15,15,1
18,3,3,3,1
18,4,11,11,1
18,5,9,9,1
18,6,7,7,1
18,7,5,5,1
18,8,13,13,1
18,9,1,1,1
18,10,323,342,0
19,1,17,17,1
19,2,15,15,1
19,3,3,3,1
19,4,11,11,1
19,5,9,9,1
19,6,7,7,1
19,7,5,5,1
19,8,13,13,1
19,9,1,1,1
19,10,342,361,0
20,1,17,17,1
20,2,15,15,1
20,3,3,3,1
20,4,11,11,1
20,5,9,9,1
20,6,7,7,1
20,7,5,5,1
20,8,13,13,1
