round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,56267.3503,36.0000,14.8000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
2,56267.3503,108.0000,22.4000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
3,56267.3503,108.0000,30.0000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
4,56267.3503,108.0000,37.6000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
5,56267.3503,108.0000,45.2000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
6,56267.3503,108.0000,52.8000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
7,56267.3503,108.0000,60.4000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
8,56267.3503,108.0000,68.0000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
9,56267.3503,108.0000,75.6000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
10,56267.3503,108.0000,83.2000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
