round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,56267.3503,36.0000,14.8000,6,2129.4232,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
2,117392.9070,118.0000,21.4000,6,2883.3279,0 -> 9 -> 9 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 4 -> 4 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
3,88282.5835,127.0000,27.1000,6,2367.4133,0 -> 9 -> 9 -> 6 -> 6 -> 3 -> 3 -> 7 -> 7 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0 -> 0
4,93962.7664,149.0000,30.5000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
5,93962.7664,126.0000,36.2000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
6,93962.7664,126.0000,41.9000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
7,93962.7664,126.0000,47.6000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
8,93962.7664,126.0000,53.3000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
9,93962.7664,126.0000,59.0000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
10,93962.7664,126.0000,64.7000,7,2989.3558,0 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 7 -> 7 -> 6 -> 6 -> 2 -> 2 -> 5 -> 5 -> 0 -> 0 -> 0 -> 0 -> 0
