round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,19,0
1,3,0,13,1
1,4,0,11,1
1,5,0,19,0
1,6,0,9,1
1,7,0,19,0
1,8,0,19,0
1,9,0,5,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,19,0
1,15,0,19,0
1,16,0,19,0
1,17,0,19,0
1,18,0,19,0
1,19,0,17,1
1,20,0,19,0
1,21,0,19,0
1,22,0,3,1
1,23,0,1,1
1,24,0,15,1
1,25,0,7,1
2,1,19,5,1
2,2,19,17,1
2,3,13,32,0
2,4,11,30,0
2,5,19,13,1
2,6,9,28,0
2,7,19,15,1
2,8,19,7,1
2,9,5,24,0
2,10,19,38,0
2,11,19,38,0
2,12,19,38,0
2,13,19,38,0
2,14,19,1,1
2,15,19,3,1
2,16,19,38,0
2,17,19,11,1
2,18,19,9,1
2,19,17,36,0
2,20,19,38,0
2,21,19,38,0
2,22,3,22,0
2,23,1,20,0
2,24,15,34,0
2,25,7,26,0
3,1,5,24,0
3,2,17,36,0
3,3,32,51,0
3,4,30,49,0
3,5,13,32,0
3,6,28,47,0
3,7,15,34,0
3,8,7,26,0
3,9,24,43,0
3,10,38,5,1
3,11,38,13,1
3,12,38,11,1
3,13,38,7,1
3,14,1,20,0
3,15,3,22,0
3,16,38,15,1
3,17,11,30,0
3,18,9,28,0
3,19,36,3,1
3,20,38,9,1
3,21,38,17,1
3,22,22,41,0
3,23,20,39,0
3,24,34,1,1
3,25,26,45,0
4,1,24,43,0
4,2,36,3,1
4,3,51,17,1
4,4,49,15,1
4,5,32,51,0
4,6,47,13,1
4,7,34,1,1
4,8,26,45,0
4,9,43,9,1
4,10,5,24,0
4,11,13,32,0
4,12,11,30,0
4,13,7,26,0
4,14,20,39,0
4,15,22,41,0
4,16,15,34,0
4,17,30,49,0
4,18,28,47,0
4,19,3,22,0
4,20,9,28,0
4,21,17,36,0
4,22,41,7,1
4,23,39,5,1
4,24,1,20,0
4,25,45,11,1
5,1,43,9,1
5,2,3,22,0
5,3,17,36,0
5,4,15,34,0
5,5,51,17,1
5,6,13,32,0
5,7,1,20,0
5,8,45,11,1
5,9,9,28,0
5,10,24,43,0
5,11,32,51,0
5,12,30,49,0
5,13,26,45,0
5,14,39,5,1
5,15,41,7,1
5,16,34,1,1
5,17,49,15,1
5,18,47,13,1
5,19,22,41,0
5,20,28,47,0
5,21,36,3,1
5,22,7,26,0
