round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,27778.3799,81.0000,16.0000,9,984.0871,0 -> 23 -> 23 -> 1 -> 1 -> 17 -> 17 -> 13 -> 13 -> 20 -> 20 -> 22 -> 22 -> 26 -> 26 -> 9 -> 9 -> 28 -> 28 -> 0
2,28057.7533,252.0000,26.3000,9,832.5941,0 -> 25 -> 25 -> 14 -> 14 -> 30 -> 30 -> 27 -> 27 -> 4 -> 4 -> 11 -> 11 -> 7 -> 7 -> 24 -> 24 -> 5 -> 5 -> 0
3,29144.9994,423.0000,30.9000,9,584.9677,0 -> 29 -> 29 -> 12 -> 12 -> 10 -> 10 -> 19 -> 19 -> 3 -> 3 -> 8 -> 8 -> 15 -> 15 -> 2 -> 2 -> 6 -> 6 -> 0
4,28099.0242,550.0000,31.2667,9,819.2912,0 -> 21 -> 21 -> 1 -> 1 -> 23 -> 23 -> 16 -> 16 -> 17 -> 17 -> 13 -> 13 -> 20 -> 20 -> 18 -> 18 -> 26 -> 26 -> 0
5,28079.0439,561.0000,31.2667,9,860.9103,0 -> 28 -> 28 -> 27 -> 27 -> 25 -> 25 -> 9 -> 9 -> 14 -> 14 -> 7 -> 7 -> 22 -> 22 -> 4 -> 4 -> 30 -> 30 -> 0
6,28641.5041,563.0000,31.2000,9,667.6054,0 -> 5 -> 5 -> 24 -> 24 -> 10 -> 10 -> 12 -> 12 -> 11 -> 11 -> 19 -> 19 -> 3 -> 3 -> 8 -> 8 -> 29 -> 29 -> 0
7,28457.1434,561.0000,31.2000,9,734.1316,0 -> 17 -> 17 -> 16 -> 16 -> 23 -> 23 -> 2 -> 2 -> 15 -> 15 -> 1 -> 1 -> 6 -> 6 -> 13 -> 13 -> 21 -> 21 -> 0
8,27848.1888,561.0000,31.2000,9,936.9428,0 -> 25 -> 25 -> 14 -> 14 -> 7 -> 7 -> 18 -> 18 -> 20 -> 20 -> 27 -> 27 -> 28 -> 28 -> 9 -> 9 -> 26 -> 26 -> 0
9,28432.7906,561.0000,31.2000,9,717.9453,0 -> 19 -> 19 -> 22 -> 22 -> 4 -> 4 -> 30 -> 30 -> 10 -> 10 -> 12 -> 12 -> 11 -> 11 -> 5 -> 5 -> 24 -> 24 -> 0
10,28417.9339,557.0000,31.3333,9,766.6406,0 -> 17 -> 17 -> 16 -> 16 -> 29 -> 29 -> 8 -> 8 -> 3 -> 3 -> 2 -> 2 -> 23 -> 23 -> 1 -> 1 -> 6 -> 6 -> 0
11,28150.4488,563.0000,31.2667,9,805.0408,0 -> 15 -> 15 -> 20 -> 20 -> 18 -> 18 -> 7 -> 7 -> 14 -> 14 -> 25 -> 25 -> 28 -> 28 -> 13 -> 13 -> 21 -> 21 -> 0
12,28188.3918,563.0000,31.2000,9,797.9140,0 -> 19 -> 19 -> 22 -> 22 -> 4 -> 4 -> 9 -> 9 -> 26 -> 26 -> 10 -> 10 -> 12 -> 12 -> 27 -> 27 -> 30 -> 30 -> 0
13,28226.3186,557.0000,31.3333,9,767.0899,0 -> 5 -> 5 -> 11 -> 11 -> 17 -> 17 -> 16 -> 16 -> 24 -> 24 -> 8 -> 8 -> 3 -> 3 -> 1 -> 1 -> 29 -> 29 -> 0
14,28042.5164,563.0000,31.2667,9,830.0003,0 -> 6 -> 6 -> 14 -> 14 -> 23 -> 23 -> 2 -> 2 -> 7 -> 7 -> 18 -> 18 -> 20 -> 20 -> 15 -> 15 -> 28 -> 28 -> 0
15,28165.7570,559.0000,31.3333,9,803.1339,0 -> 21 -> 21 -> 13 -> 13 -> 25 -> 25 -> 27 -> 27 -> 19 -> 19 -> 22 -> 22 -> 26 -> 26 -> 9 -> 9 -> 4 -> 4 -> 0
16,28341.2706,565.0000,31.2000,9,754.7556,0 -> 5 -> 5 -> 11 -> 11 -> 12 -> 12 -> 10 -> 10 -> 17 -> 17 -> 16 -> 16 -> 24 -> 24 -> 8 -> 8 -> 30 -> 30 -> 0
17,28262.7682,559.0000,31.2667,9,806.7868,0 -> 29 -> 29 -> 1 -> 1 -> 23 -> 23 -> 6 -> 6 -> 14 -> 14 -> 7 -> 7 -> 2 -> 2 -> 3 -> 3 -> 20 -> 20 -> 0
18,28502.6957,563.0000,31.2000,9,713.1840,0 -> 21 -> 21 -> 27 -> 27 -> 19 -> 19 -> 22 -> 22 -> 28 -> 28 -> 18 -> 18 -> 25 -> 25 -> 13 -> 13 -> 15 -> 15 -> 0
19,28187.9725,559.0000,31.2667,9,821.6133,0 -> 5 -> 5 -> 24 -> 24 -> 4 -> 4 -> 11 -> 11 -> 12 -> 12 -> 9 -> 9 -> 26 -> 26 -> 10 -> 10 -> 17 -> 17 -> 0
20,28225.5685,563.0000,31.2000,9,798.4424,0 -> 6 -> 6 -> 8 -> 8 -> 23 -> 23 -> 14 -> 14 -> 7 -> 7 -> 16 -> 16 -> 30 -> 30 -> 1 -> 1 -> 29 -> 29 -> 0
21,28250.3132,559.0000,31.2667,9,793.9919,0 -> 21 -> 21 -> 28 -> 28 -> 22 -> 22 -> 20 -> 20 -> 3 -> 3 -> 2 -> 2 -> 25 -> 25 -> 27 -> 27 -> 19 -> 19 -> 0
22,28324.0788,561.0000,31.2667,9,757.1613,0 -> 24 -> 24 -> 4 -> 4 -> 11 -> 11 -> 5 -> 5 -> 13 -> 13 -> 12 -> 12 -> 18 -> 18 -> 26 -> 26 -> 15 -> 15 -> 0
23,28252.3728,561.0000,31.2667,9,795.4248,0 -> 23 -> 23 -> 6 -> 6 -> 14 -> 14 -> 17 -> 17 -> 10 -> 10 -> 7 -> 7 -> 9 -> 9 -> 8 -> 8 -> 30 -> 30 -> 0
