round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,56339.0728,81.0000,16.0000,9,1567.9294,0 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 18 -> 18 -> 0
2,77628.5597,252.0000,26.3000,9,2009.2629,0 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 20 -> 20 -> 23 -> 23 -> 17 -> 17 -> 28 -> 28 -> 5 -> 5 -> 9 -> 9 -> 0
3,103080.1091,423.0000,30.9000,9,2366.1539,0 -> 19 -> 19 -> 6 -> 6 -> 24 -> 24 -> 11 -> 11 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 0
4,111218.4379,538.0000,31.6667,9,2790.0632,0 -> 26 -> 26 -> 3 -> 3 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 7 -> 7 -> 21 -> 21 -> 0
5,110022.6945,542.0000,32.3000,9,2491.5227,0 -> 1 -> 1 -> 18 -> 18 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 20 -> 20 -> 23 -> 23 -> 17 -> 17 -> 28 -> 28 -> 0
6,132915.2815,445.0000,36.1667,9,3009.7235,0 -> 5 -> 5 -> 9 -> 9 -> 19 -> 19 -> 24 -> 24 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 0
7,125643.1511,639.0000,33.5667,9,2755.3460,0 -> 6 -> 6 -> 11 -> 11 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 0
8,97612.1448,632.0000,31.2000,9,3062.2921,0 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 14 -> 14 -> 18 -> 18 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 20 -> 20 -> 0
9,117697.0194,561.0000,31.2000,9,2823.8072,0 -> 23 -> 23 -> 17 -> 17 -> 28 -> 28 -> 5 -> 5 -> 9 -> 9 -> 24 -> 24 -> 19 -> 19 -> 29 -> 29 -> 10 -> 10 -> 0
10,103798.0856,561.0000,31.2000,9,2483.2300,0 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 6 -> 6 -> 11 -> 11 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 0
11,120764.2059,555.0000,31.4000,9,3079.0113,0 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 18 -> 18 -> 27 -> 27 -> 15 -> 15 -> 0
12,88705.8191,567.0000,31.2000,9,2821.0212,0 -> 2 -> 2 -> 20 -> 20 -> 14 -> 14 -> 23 -> 23 -> 17 -> 17 -> 28 -> 28 -> 5 -> 5 -> 9 -> 9 -> 24 -> 24 -> 0
13,127095.0601,561.0000,31.2000,9,3388.5398,0 -> 19 -> 19 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 6 -> 6 -> 11 -> 11 -> 22 -> 22 -> 0
14,114514.8214,561.0000,31.2000,9,2805.4827,0 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 0
15,103913.5500,553.0000,31.4667,9,2533.3182,0 -> 18 -> 18 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 20 -> 20 -> 23 -> 23 -> 17 -> 17 -> 28 -> 28 -> 5 -> 5 -> 0
16,136637.2893,540.0000,32.1667,9,3592.8669,0 -> 9 -> 9 -> 24 -> 24 -> 19 -> 19 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 11 -> 11 -> 0
17,129925.5757,544.0000,32.7333,9,3104.8858,0 -> 6 -> 6 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 0
18,116599.9945,607.0000,31.2000,9,2990.6385,0 -> 21 -> 21 -> 1 -> 1 -> 18 -> 18 -> 14 -> 14 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 20 -> 20 -> 23 -> 23 -> 0
19,109409.7664,561.0000,31.2000,9,3108.8449,0 -> 5 -> 5 -> 17 -> 17 -> 28 -> 28 -> 9 -> 9 -> 24 -> 24 -> 19 -> 19 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 0
20,140248.5096,561.0000,31.2000,9,3219.6998,0 -> 4 -> 4 -> 30 -> 30 -> 11 -> 11 -> 6 -> 6 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 0
21,119962.7290,555.0000,31.4000,9,3042.8881,0 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 18 -> 18 -> 27 -> 27 -> 15 -> 15 -> 2 -> 2 -> 0
22,102570.9275,542.0000,32.0333,9,2967.2635,0 -> 20 -> 20 -> 23 -> 23 -> 5 -> 5 -> 17 -> 17 -> 28 -> 28 -> 9 -> 9 -> 24 -> 24 -> 19 -> 19 -> 29 -> 29 -> 0
23,125802.4536,542.0000,32.6667,9,2994.5967,0 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 11 -> 11 -> 6 -> 6 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 0
24,114824.1968,542.0000,33.3000,9,3026.2033,0 -> 13 -> 13 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 21 -> 21 -> 1 -> 1 -> 18 -> 18 -> 27 -> 27 -> 0
25,89813.6114,624.0000,31.2000,9,2912.0170,0 -> 15 -> 15 -> 2 -> 2 -> 14 -> 14 -> 20 -> 20 -> 23 -> 23 -> 5 -> 5 -> 17 -> 17 -> 28 -> 28 -> 9 -> 9 -> 0
26,132914.0527,561.0000,31.2000,9,3587.9983,0 -> 24 -> 24 -> 19 -> 19 -> 29 -> 29 -> 10 -> 10 -> 12 -> 12 -> 4 -> 4 -> 30 -> 30 -> 11 -> 11 -> 6 -> 6 -> 0
27,99170.5682,561.0000,31.2000,9,2524.6499,0 -> 22 -> 22 -> 16 -> 16 -> 8 -> 8 -> 13 -> 13 -> 25 -> 25 -> 26 -> 26 -> 3 -> 3 -> 7 -> 7 -> 21 -> 21 -> 0
