id,x,y
01,24.746,474.399
02,105.097,533.225
03,145.63,81.323
04,280.225,24.797
05,578.476,210.004
06,104.321,316.023
07,479.528,35.602
08,178.295,95.096
09,496.129,353.771
10,530.078,570.794
11,392.89,462.511
12,584.664,5.67
13,237.132,467.737
14,181.66,154.128
15,549.234,104.14
16,251.298,74.018
17,552.315,595.3
18,67.235,175.975
19,146.694,458.088
20,210.576,243.067
21,310.633,468.928
22,519.646,353.886
23,10.985,492.799
24,157.236,60.602
25,389.133,326.068
26,99.109,329.489
27,496.833,474.683
28,42.875,437.689
29,302.858,583.321
30,88.943,393.98
