round,sensor_id,aoi_before,aoi_after,visited
1,1,12,31,0
1,2,17,17,1
1,3,2,21,0
1,4,16,11,1
1,5,17,1,1
1,6,1,20,0
1,7,19,9,1
1,8,10,29,0
1,9,3,22,0
1,10,17,13,1
1,11,20,3,1
1,12,3,22,0
1,13,4,23,0
1,14,0,19,0
1,15,12,31,0
1,16,6,25,0
1,17,8,27,0
1,18,10,29,0
1,19,9,28,0
1,20,13,32,0
1,21,16,35,0
1,22,14,5,1
1,23,17,15,1
1,24,19,7,1
1,25,1,20,0
1,26,12,31,0
1,27,5,24,0
1,28,10,29,0
1,29,2,21,0
1,30,12,31,0

2,1,31,50,0
2,2,17,36,0
2,3,21,40,0
2,4,11,30,0
2,5,1,20,0
2,6,20,39,0
2,7,9,28,0
2,8,29,9,1
2,9,22,41,0
2,10,13,32,0
2,11,3,22,0
2,12,22,41,0
2,13,23,42,0
2,14,19,38,0
2,15,31,5,1
2,16,25,44,0
2,17,27,46,0
2,18,29,1,1
2,19,28,15,1
2,20,32,3,1
2,21,35,11,1
2,22,5,24,0
2,23,15,34,0
2,24,7,26,0
2,25,20,39,0
2,26,31,7,1
2,27,24,43,0
2,28,29,17,1
2,29,21,40,0
2,30,31,13,1

3,1,50,9,1
3,2,36,17,1
3,3,40,15,1
3,4,30,49,0
3,5,20,39,0
3,6,39,58,0
3,7,28,47,0
3,8,9,28,0
3,9,41,1,1
3,10,32,51,0
3,11,22,41,0
3,12,41,3,1
3,13,42,5,1
3,14,38,57,0
3,15,5,24,0
3,16,44,13,1
3,17,46,7,1
3,18,1,20,0
3,19,15,34,0
3,20,3,22,0
3,21,11,30,0
3,22,24,43,0
3,23,34,53,0
3,24,26,45,0
3,25,39,58,0
3,26,7,26,0
3,27,43,11,1
3,28,17,36,0
3,29,40,59,0
3,30,13,32,0

4,1,9,28,0
4,2,17,36,0
4,3,15,34,0
4,4,49,7,1
4,5,39,58,0
4,6,58,15,1
4,7,47,11,1
4,8,28,47,0
4,9,1,20,0
4,10,51,5,1
4,11,41,60,0
4,12,3,22,0
4,13,5,24,0
4,14,57,9,1
4,15,24,43,0
4,16,13,32,0
4,17,7,26,0
4,18,20,39,0
4,19,34,53,0
4,20,22,41,0
4,21,30,49,0
4,22,43,62,0
4,23,53,1,1
4,24,45,13,1
4,25,58,17,1
4,26,26,45,0
4,27,11,30,0
4,28,36,55,0
4,29,59,3,1
4,30,32,51,0

5,1,28,47,0
5,2,36,55,0
5,3,34,53,0
5,4,7,26,0
5,5,58,17,1
5,6,15,34,0
5,7,11,30,0
5,8,47,9,1
5,9,20,39,0
5,10,5,24,0
5,11,60,15,1
5,12,22,41,0
5,13,24,43,0
5,14,9,28,0
5,15,43,62,0
5,16,32,51,0
5,17,26,45,0
5,18,39,58,0
5,19,53,3,1
5,20,41,60,0
5,21,49,7,1
5,22,62,13,1
5,23,1,20,0
5,24,13,32,0
5,25,17,36,0
5,26,45,11,1
5,27,30,49,0
5,28,55,1,1
5,29,3,22,0
5,30,51,5,1

6,1,47,66,0
6,2,55,1,1
6,3,53,3,1
6,4,26,45,0
6,5,17,36,0
6,6,34,53,0
6,7,30,49,0
6,8,9,28,0
6,9,39,58,0
6,10,24,43,0
6,11,15,34,0
6,12,41,60,0
6,13,43,9,1
6,14,28,47,0
6,15,62,11,1
6,16,51,13,1
6,17,45,7,1
6,18,58,17,1
6,19,3,22,0
6,20,60,15,1
6,21,7,26,0
6,22,13,32,0
6,23,20,39,0
6,24,32,51,0
6,25,36,55,0
6,26,11,30,0
6,27,49,5,1
6,28,1,20,0
6,29,22,41,0
6,30,5,24,0

7,1,66,9,1
7,2,1,20,0
7,3,3,22,0
7,4,45,13,1
7,5,36,55,0
7,6,53,5,1
7,7,49,3,1
7,8,28,47,0
7,9,58,17,1
7,10,43,11,1
7,11,34,53,0
7,12,60,15,1
7,13,9,28,0
7,14,47,66,0
7,15,11,30,0
7,16,13,32,0
7,17,7,26,0
7,18,17,36,0
7,19,22,41,0
7,20,15,34,0
7,21,26,45,0
7,22,32,51,0
7,23,39,58,0
7,24,51,7,1
7,25,55,1,1
7,26,30,49,0
7,27,5,24,0
7,28,20,39,0
7,29,41,60,0
7,30,24,43,0

8,1,9,28,0
8,2,20,39,0
8,3,22,41,0
8,4,13,32,0
8,5,55,1,1
8,6,5,24,0
8,7,3,22,0
8,8,47,11,1
8,9,17,36,0
8,10,11,30,0
8,11,53,3,1
8,12,15,34,0
8,13,28,47,0
8,14,66,7,1
8,15,30,49,0
8,16,32,51,0
8,17,26,45,0
8,18,36,55,0
8,19,41,17,1
8,20,34,53,0
8,21,45,64,0
8,22,51,5,1
8,23,58,15,1
8,24,7,26,0
8,25,1,20,0
8,26,49,9,1
8,27,24,43,0
8,28,39,58,0
8,29,60,13,1
8,30,43,62,0

9,1,28,47,0
9,2,39,58,0
9,3,41,7,1
9,4,32,51,0
9,5,1,20,0
9,6,24,43,0
9,7,22,41,0
9,8,11,30,0
9,9,36,55,0
9,10,30,49,0
9,11,3,22,0
9,12,34,53,0
9,13,47,11,1
9,14,7,26,0
9,15,49,9,1
9,16,51,5,1
9,17,45,64,0
9,18,55,1,1
9,19,17,36,0
9,20,53,3,1
9,21,64,13,1
9,22,5,24,0
9,23,15,34,0
9,24,26,45,0
9,25,20,39,0
9,26,9,28,0
9,27,43,62,0
9,28,58,17,1
9,29,13,32,0
9,30,62,15,1

10,1,47,11,1
10,2,58,17,1
10,3,7,26,0
10,4,51,5,1
10,5,20,39,0
10,6,43,15,1
10,7,41,60,0
10,8,30,49,0
10,9,55,1,1
10,10,49,7,1
10,11,22,41,0
10,12,53,3,1
10,13,11,30,0
10,14,26,45,0
10,15,9,28,0
10,16,5,24,0
10,17,64,9,1
10,18,1,20,0
10,19,36,55,0
10,20,3,22,0
10,21,13,32,0
10,22,24,43,0
10,23,34,53,0
10,24,45,64,0
10,25,39,58,0
10,26,28,47,0
10,27,62,13,1
10,28,17,36,0
10,29,32,51,0
10,30,15,34,0
