round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,19,0
1,3,0,19,0
1,4,0,19,0
1,5,0,19,0
1,6,0,17,1
1,7,0,13,1
1,8,0,19,0
1,9,0,19,0
1,10,0,15,1
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,11,1
1,15,0,19,0
1,16,0,19,0
1,17,0,9,1
1,18,0,5,1
1,19,0,3,1
1,20,0,7,1
1,21,0,1,1
1,22,0,19,0
1,23,0,19,0
1,24,0,19,0
1,25,0,19,0
2,1,19,15,1
2,2,19,7,1
2,3,19,5,1
2,4,19,38,0
2,5,19,3,1
2,6,17,36,0
2,7,13,32,0
2,8,19,38,0
2,9,19,38,0
2,10,15,34,0
2,11,19,11,1
2,12,19,38,0
2,13,19,38,0
2,14,11,30,0
2,15,19,1,1
2,16,19,17,1
2,17,9,28,0
2,18,5,24,0
2,19,3,22,0
2,20,7,26,0
2,21,1,20,0
2,22,19,13,1
2,23,19,9,1
2,24,19,38,0
2,25,19,38,0
3,1,15,34,0
3,2,7,26,0
3,3,5,24,0
3,4,38,17,1
3,5,3,22,0
3,6,36,1,1
3,7,32,15,1
3,8,38,11,1
3,9,38,7,1
3,10,34,53,0
3,11,11,30,0
3,12,38,3,1
3,13,38,5,1
3,14,30,49,0
3,15,1,20,0
3,16,17,36,0
3,17,28,47,0
3,18,24,43,0
3,19,22,41,0
3,20,26,45,0
3,21,20,39,0
3,22,13,32,0
3,23,9,28,0
3,24,38,13,1
3,25,38,9,1
4,1,34,7,1
4,2,26,45,0
4,3,24,43,0
4,4,17,36,0
4,5,22,41,0
4,6,1,20,0
4,7,15,34,0
4,8,11,30,0
4,9,7,26,0
4,10,53,11,1
4,11,30,49,0
4,12,3,22,0
4,13,5,24,0
4,14,49,3,1
4,15,20,39,0
4,16,36,13,1
4,17,47,1,1
4,18,43,15,1
4,19,41,9,1
4,20,45,5,1
4,21,39,17,1
4,22,32,51,0
4,23,28,47,0
4,24,13,32,0
4,25,9,28,0
5,1,7,26,0
5,2,45,11,1
5,3,43,13,1
5,4,36,3,1
5,5,41,15,1
5,6,20,39,0
5,7,34,1,1
5,8,30,49,0
5,9,26,45,0
5,10,11,30,0
5,11,49,7,1
5,12,22,41,0
5,13,24,43,0
5,14,3,22,0
5,15,39,17,1
5,16,13,32,0
5,17,1,20,0
5,18,15,34,0
5,19,9,28,0
5,20,5,24,0
5,21,17,36,0
5,22,51,5,1
