round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,47646.8503,81.0000,15.4000,9,2145.7236,0 -> 5 -> 5 -> 2 -> 2 -> 3 -> 3 -> 7 -> 7 -> 15 -> 15 -> 13 -> 13 -> 12 -> 12 -> 19 -> 19 -> 9 -> 9 -> 0
2,49307.8752,224.0000,25.1200,8,2545.5207,0 -> 9 -> 19 -> 25 -> 25 -> 3 -> 3 -> 16 -> 16 -> 22 -> 22 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 5 -> 5 -> 0
3,47877.5022,338.0000,30.2800,8,2637.4241,0 -> 9 -> 19 -> 13 -> 13 -> 8 -> 8 -> 10 -> 10 -> 17 -> 17 -> 4 -> 4 -> 23 -> 23 -> 19 -> 19 -> 9 -> 9 -> 0
4,48931.7697,415.0000,32.3600,8,2186.5199,0 -> 9 -> 19 -> 12 -> 12 -> 14 -> 14 -> 15 -> 15 -> 7 -> 7 -> 3 -> 3 -> 25 -> 25 -> 2 -> 2 -> 5 -> 5 -> 0
5,49652.8664,409.0000,34.6800,8,2545.2568,0 -> 5 -> 18 -> 18 -> 11 -> 11 -> 20 -> 20 -> 22 -> 22 -> 16 -> 16 -> 7 -> 13 -> 13 -> 19 -> 19 -> 9 -> 9 -> 0
6,49426.9518,427.0000,36.3200,7,2828.0063,0 -> 9 -> 19 -> 12 -> 12 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 21 -> 21 -> 23 -> 23 -> 19 -> 9 -> 0
7,49762.1594,473.0000,36.1200,7,2627.5088,0 -> 9 -> 19 -> 12 -> 13 -> 14 -> 14 -> 15 -> 15 -> 24 -> 24 -> 16 -> 16 -> 6 -> 6 -> 18 -> 18 -> 5 -> 5 -> 0
8,49547.8574,499.0000,34.8400,8,2534.8937,0 -> 5 -> 2 -> 2 -> 25 -> 25 -> 3 -> 3 -> 22 -> 22 -> 16 -> 7 -> 7 -> 13 -> 13 -> 19 -> 19 -> 9 -> 9 -> 0
9,49426.9518,392.0000,37.8800,7,2828.0063,0 -> 9 -> 19 -> 12 -> 12 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 21 -> 21 -> 23 -> 23 -> 19 -> 9 -> 0
10,49872.7754,501.0000,36.5200,8,2583.8555,0 -> 9 -> 19 -> 13 -> 13 -> 14 -> 14 -> 16 -> 16 -> 6 -> 6 -> 20 -> 20 -> 11 -> 11 -> 18 -> 18 -> 5 -> 5 -> 0
11,49804.9316,465.0000,36.5600,9,2143.8948,0 -> 5 -> 5 -> 2 -> 2 -> 25 -> 25 -> 3 -> 3 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 19 -> 19 -> 9 -> 9 -> 0
12,49281.9100,373.0000,40.3600,7,2954.5864,0 -> 9 -> 19 -> 13 -> 13 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 21 -> 21 -> 23 -> 23 -> 19 -> 9 -> 0
13,49141.8879,490.0000,39.4800,7,2708.2861,0 -> 9 -> 19 -> 13 -> 14 -> 14 -> 16 -> 24 -> 24 -> 16 -> 16 -> 22 -> 22 -> 6 -> 6 -> 18 -> 18 -> 5 -> 5 -> 0
14,49804.9316,450.0000,40.1200,9,2143.8948,0 -> 5 -> 5 -> 2 -> 2 -> 25 -> 25 -> 3 -> 3 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 19 -> 19 -> 9 -> 9 -> 0
15,49699.3564,423.0000,41.8800,8,2544.6044,0 -> 9 -> 19 -> 13 -> 13 -> 14 -> 14 -> 16 -> 16 -> 22 -> 22 -> 20 -> 20 -> 11 -> 11 -> 18 -> 18 -> 5 -> 5 -> 0
16,48023.8077,482.0000,41.3200,7,2888.5522,0 -> 9 -> 19 -> 23 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 21 -> 21 -> 23 -> 23 -> 19 -> 19 -> 9 -> 0
17,48223.7564,441.0000,42.3600,8,2242.4502,0 -> 9 -> 19 -> 12 -> 12 -> 13 -> 13 -> 15 -> 15 -> 7 -> 7 -> 3 -> 3 -> 25 -> 25 -> 2 -> 2 -> 9 -> 9 -> 0
18,49141.8879,471.0000,42.2400,7,2708.2861,0 -> 9 -> 19 -> 13 -> 14 -> 14 -> 16 -> 24 -> 24 -> 16 -> 16 -> 22 -> 22 -> 6 -> 6 -> 18 -> 18 -> 5 -> 5 -> 0
19,47275.3011,412.0000,44.4400,8,2528.2446,0 -> 9 -> 19 -> 23 -> 23 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 12 -> 12 -> 19 -> 19 -> 9 -> 9 -> 0
20,49923.3524,446.0000,45.3200,7,2650.1153,0 -> 9 -> 19 -> 13 -> 13 -> 15 -> 15 -> 7 -> 7 -> 3 -> 3 -> 22 -> 20 -> 20 -> 11 -> 11 -> 6 -> 6 -> 5 -> 0
21,49912.3463,426.0000,46.9200,9,2312.8635,0 -> 9 -> 9 -> 19 -> 19 -> 25 -> 25 -> 2 -> 2 -> 3 -> 3 -> 16 -> 16 -> 22 -> 22 -> 18 -> 18 -> 5 -> 5 -> 0
22,49426.9518,452.0000,47.5600,7,2828.0063,0 -> 9 -> 19 -> 12 -> 12 -> 8 -> 8 -> 17 -> 17 -> 10 -> 10 -> 4 -> 4 -> 21 -> 21 -> 23 -> 23 -> 19 -> 9 -> 0
23,49477.8229,477.0000,47.2000,7,2831.0954,0 -> 9 -> 19 -> 12 -> 13 -> 14 -> 14 -> 7 -> 7 -> 24 -> 24 -> 15 -> 15 -> 13 -> 13 -> 19 -> 19 -> 9 -> 9 -> 0
24,49307.8752,468.0000,47.1600,8,2545.5207,0 -> 9 -> 19 -> 25 -> 25 -> 3 -> 3 -> 16 -> 16 -> 22 -> 22 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 5 -> 5 -> 0
25,49795.1578,467.0000,47.4400,1,3541.0847,0 -> 9 -> 19 -> 12 -> 23 -> 4 -> 8 -> 10 -> 8 -> 10 -> 17 -> 1 -> 1 -> 17 -> 8 -> 4 -> 23 -> 19 -> 9 -> 0
26,47275.3011,560.0000,43.7200,8,2528.2446,0 -> 9 -> 19 -> 12 -> 12 -> 4 -> 4 -> 10 -> 10 -> 17 -> 17 -> 8 -> 8 -> 23 -> 23 -> 19 -> 19 -> 9 -> 9 -> 0
