round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,31061.3293,81.0000,18.4000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
2,31061.3293,162.0000,36.2600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
3,31061.3293,162.0000,54.1200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
4,31061.3293,162.0000,71.9800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
5,31061.3293,162.0000,89.8400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
6,31061.3293,162.0000,107.7000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
7,31061.3293,162.0000,125.5600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
8,31061.3293,162.0000,143.4200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
9,31061.3293,162.0000,161.2800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
10,31061.3293,162.0000,179.1400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
11,31061.3293,162.0000,197.0000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
12,31061.3293,162.0000,214.8600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
13,31061.3293,162.0000,232.7200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
14,31061.3293,162.0000,250.5800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
15,31061.3293,162.0000,268.4400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
16,31061.3293,162.0000,286.3000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
17,31061.3293,162.0000,304.1600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
18,31061.3293,162.0000,322.0200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
19,31061.3293,162.0000,339.8800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
20,31061.3293,162.0000,357.7400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
21,31061.3293,162.0000,375.6000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
22,31061.3293,162.0000,393.4600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
23,31061.3293,162.0000,411.3200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
24,31061.3293,162.0000,429.1800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
25,31061.3293,162.0000,447.0400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
26,31061.3293,162.0000,464.9000,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
27,31061.3293,162.0000,482.7600,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
28,31061.3293,162.0000,500.6200,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
29,31061.3293,162.0000,518.4800,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
30,31061.3293,162.0000,536.3400,9,567.7750,0 -> 3 -> 3 -> 54 -> 54 -> 19 -> 19 -> 107 -> 107 -> 22 -> 22 -> 131 -> 131 -> 60 -> 60 -> 78 -> 78 -> 39 -> 39 -> 0
