id,x,y
001,387.854,746.684
002,903.517,819.375
003,242.351,79.433
004,524.844,550.246
005,489.287,118.615
006,98.942,175.847
007,708.376,942.338
008,983.446,644.536
009,968.356,767.224
010,707.506,247.710
011,584.123,634.377
012,483.067,849.773
013,224.127,541.639
014,235.304,97.315
015,350.374,344.224
016,976.207,812.461
017,992.390,928.019
018,24.132,195.477
019,926.999,850.438
020,903.688,796.865
021,528.693,568.936
022,920.793,11.400
023,300.281,851.087
024,956.932,792.101
025,625.674,61.815
026,138.975,659.821
027,703.271,308.874
028,82.760,935.940
029,260.664,351.129
030,908.876,673.806
031,684.531,394.884
032,102.017,980.199
033,278.483,69.441
034,6.608,989.321
035,809.182,233.450
036,106.160,138.572
037,892.229,489.457
038,518.263,25.387
039,346.065,600.283
040,116.407,164.241
041,750.957,724.727
042,590.618,850.410
043,606.843,543.025
044,881.243,62.736
045,298.241,565.081
046,83.290,989.162
047,955.365,462.910
048,899.943,367.275
049,69.309,991.188
050,239.213,954.414
051,939.520,602.836
052,172.744,896.286
053,85.227,930.717
054,470.072,167.301
055,397.268,146.125
056,960.399,70.314
057,432.506,144.880
058,207.150,915.110
059,962.687,354.973
060,112.030,316.974
061,388.455,480.751
062,17.025,30.461
063,415.424,131.902
064,643.137,551.190
065,765.944,750.948
066,32.214,240.508
067,333.568,911.070
068,979.295,420.191
069,497.102,428.152
070,803.660,38.977
071,444.171,117.470
072,618.124,279.424
073,33.794,129.656
074,826.981,960.012
075,935.940,873.937
076,321.084,74.730
077,821.653,592.847
078,649.026,369.830
079,778.015,576.562
080,359.217,138.975
081,825.313,686.880
082,248.478,925.010
083,841.460,643.587
084,161.570,196.107
085,350.238,729.894
086,365.032,453.151
087,529.665,291.852
088,787.596,478.684
089,390.146,411.170
090,412.846,456.982
091,196.424,680.043
092,962.567,854.061
093,983.305,734.855
094,440.021,482.695
095,321.412,604.869
096,339.610,985.961
097,224.035,797.138
098,943.924,245.938
099,769.104,337.798
100,721.486,256.384
101,685.327,493.473
102,382.364,949.267
103,40.057,735.106
104,517.379,943.988
105,7.052,366.206
106,665.310,14.628
107,620.750,141.583
108,679.191,130.384
109,28.354,433.215
110,362.019,376.111
111,402.339,186.877
112,473.819,438.739
113,592.805,495.982
114,207.679,277.678
115,382.305,906.517
116,152.090,482.132
117,129.127,110.505
118,165.350,209.992
119,530.750,863.841
120,500.182,504.151
121,14.959,969.204
122,391.489,188.815
123,884.520,555.418
124,322.942,278.425
125,640.452,478.241
126,438.277,879.869
127,39.994,129.277
128,331.029,273.407
129,349.392,869.677
130,761.797,679.953
131,894.510,345.612
132,763.863,351.059
133,160.053,593.745
134,947.224,468.578
135,928.825,290.447
136,203.891,101.068
137,914.958,935.167
138,624.561,877.617
139,289.596,330.480
140,379.454,374.461
141,71.464,310.664
142,494.611,76.484
143,392.972,900.222
144,708.925,687.677
145,927.879,328.776
146,206.712,41.742
147,348.478,997.013
148,845.385,506.129
149,68.912,269.439
150,851.700,967.440
