round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,30464.9062,81.0000,17.8000,9,622.6885,0 -> 8 -> 8 -> 47 -> 47 -> 27 -> 27 -> 32 -> 32 -> 65 -> 65 -> 60 -> 60 -> 35 -> 35 -> 58 -> 58 -> 7 -> 7 -> 0
2,35609.0770,252.0000,33.3200,9,899.1622,0 -> 6 -> 6 -> 30 -> 30 -> 70 -> 70 -> 73 -> 73 -> 74 -> 74 -> 66 -> 66 -> 2 -> 2 -> 24 -> 24 -> 29 -> 29 -> 0
3,37497.8917,423.0000,46.5600,9,1119.1261,0 -> 56 -> 56 -> 18 -> 18 -> 63 -> 63 -> 39 -> 39 -> 61 -> 61 -> 40 -> 40 -> 52 -> 52 -> 48 -> 48 -> 23 -> 23 -> 0
4,51780.3703,594.0000,57.5200,9,1457.7236,0 -> 22 -> 22 -> 49 -> 49 -> 64 -> 64 -> 26 -> 26 -> 17 -> 17 -> 13 -> 13 -> 43 -> 43 -> 68 -> 68 -> 33 -> 33 -> 0
5,45148.5106,765.0000,66.2000,9,1237.5576,0 -> 11 -> 11 -> 3 -> 3 -> 46 -> 46 -> 50 -> 50 -> 31 -> 31 -> 72 -> 72 -> 38 -> 38 -> 20 -> 20 -> 54 -> 54 -> 0
6,51673.0160,936.0000,72.6000,9,1538.2197,0 -> 45 -> 45 -> 10 -> 10 -> 67 -> 67 -> 55 -> 55 -> 19 -> 19 -> 44 -> 44 -> 75 -> 75 -> 62 -> 62 -> 34 -> 34 -> 0
7,86883.1173,1107.0000,76.7200,9,1901.9769,0 -> 51 -> 51 -> 1 -> 1 -> 5 -> 5 -> 14 -> 14 -> 28 -> 28 -> 69 -> 69 -> 42 -> 42 -> 16 -> 16 -> 36 -> 36 -> 0
8,67042.7347,1278.0000,78.5600,9,1521.1096,0 -> 9 -> 9 -> 71 -> 71 -> 57 -> 57 -> 25 -> 25 -> 15 -> 15 -> 41 -> 41 -> 59 -> 59 -> 12 -> 12 -> 37 -> 37 -> 0
9,79786.4424,1407.0000,78.6800,9,2077.5325,0 -> 21 -> 21 -> 53 -> 53 -> 4 -> 4 -> 8 -> 8 -> 47 -> 47 -> 27 -> 27 -> 32 -> 32 -> 65 -> 65 -> 60 -> 60 -> 0
10,33577.0106,1416.0000,78.6800,9,885.0496,0 -> 35 -> 35 -> 58 -> 58 -> 7 -> 7 -> 6 -> 6 -> 30 -> 30 -> 70 -> 70 -> 73 -> 73 -> 74 -> 74 -> 66 -> 66 -> 0
11,38748.6590,1416.0000,78.6800,9,1309.9888,0 -> 2 -> 2 -> 24 -> 24 -> 29 -> 29 -> 56 -> 56 -> 18 -> 18 -> 63 -> 63 -> 39 -> 39 -> 61 -> 61 -> 40 -> 40 -> 0
12,51368.4647,1416.0000,78.6800,9,1787.8397,0 -> 52 -> 52 -> 48 -> 48 -> 23 -> 23 -> 22 -> 22 -> 49 -> 49 -> 64 -> 64 -> 26 -> 26 -> 17 -> 17 -> 13 -> 13 -> 0
13,56078.0339,1416.0000,78.6800,9,1638.7274,0 -> 43 -> 43 -> 68 -> 68 -> 33 -> 33 -> 11 -> 11 -> 3 -> 3 -> 46 -> 46 -> 50 -> 50 -> 31 -> 31 -> 72 -> 72 -> 0
14,58049.7947,1416.0000,78.6800,9,1838.7371,0 -> 38 -> 38 -> 20 -> 20 -> 54 -> 54 -> 45 -> 45 -> 10 -> 10 -> 67 -> 67 -> 55 -> 55 -> 19 -> 19 -> 44 -> 44 -> 0
15,52814.3270,1416.0000,78.6800,9,1459.1149,0 -> 75 -> 75 -> 62 -> 62 -> 34 -> 34 -> 51 -> 51 -> 1 -> 1 -> 5 -> 5 -> 14 -> 14 -> 28 -> 28 -> 69 -> 69 -> 0
16,95453.7343,1416.0000,78.6800,9,1930.3951,0 -> 42 -> 42 -> 16 -> 16 -> 36 -> 36 -> 9 -> 9 -> 71 -> 71 -> 57 -> 57 -> 25 -> 25 -> 15 -> 15 -> 41 -> 41 -> 0
17,84748.4462,1416.0000,78.6800,9,2200.0128,0 -> 59 -> 59 -> 12 -> 12 -> 37 -> 37 -> 21 -> 21 -> 53 -> 53 -> 4 -> 4 -> 8 -> 8 -> 47 -> 47 -> 27 -> 27 -> 0
18,31043.9313,1416.0000,78.6800,9,671.9516,0 -> 32 -> 32 -> 65 -> 65 -> 60 -> 60 -> 35 -> 35 -> 58 -> 58 -> 7 -> 7 -> 6 -> 6 -> 30 -> 30 -> 70 -> 70 -> 0
