round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,38688.4940,81.0000,17.8000,9,1043.5538,0 -> 57 -> 57 -> 63 -> 63 -> 69 -> 69 -> 47 -> 47 -> 49 -> 49 -> 16 -> 16 -> 46 -> 46 -> 13 -> 13 -> 21 -> 21 -> 0
2,31710.1125,246.0000,33.4000,9,890.2617,0 -> 57 -> 57 -> 63 -> 63 -> 28 -> 28 -> 53 -> 53 -> 23 -> 23 -> 9 -> 9 -> 48 -> 48 -> 65 -> 65 -> 50 -> 50 -> 0
3,47725.9215,396.0000,47.0000,9,1365.6786,0 -> 57 -> 57 -> 69 -> 69 -> 29 -> 29 -> 56 -> 56 -> 27 -> 27 -> 34 -> 34 -> 6 -> 6 -> 40 -> 40 -> 64 -> 64 -> 0
4,44661.9426,453.0000,59.8400,9,1182.5148,0 -> 57 -> 57 -> 63 -> 63 -> 47 -> 47 -> 49 -> 49 -> 16 -> 16 -> 46 -> 46 -> 13 -> 13 -> 21 -> 21 -> 42 -> 42 -> 0
5,32661.9385,581.0000,70.9733,9,959.1973,0 -> 28 -> 28 -> 53 -> 53 -> 23 -> 23 -> 9 -> 9 -> 75 -> 75 -> 62 -> 62 -> 50 -> 50 -> 65 -> 65 -> 55 -> 55 -> 0
6,39184.7542,684.0000,80.7333,9,1199.7712,0 -> 57 -> 57 -> 63 -> 63 -> 69 -> 69 -> 29 -> 29 -> 56 -> 56 -> 36 -> 36 -> 20 -> 20 -> 17 -> 17 -> 32 -> 32 -> 0
7,44685.2436,496.0000,93.0000,9,1164.6024,0 -> 57 -> 57 -> 47 -> 47 -> 49 -> 49 -> 16 -> 16 -> 46 -> 46 -> 13 -> 13 -> 21 -> 21 -> 6 -> 6 -> 40 -> 40 -> 0
8,42994.9988,731.0000,102.1333,9,1183.9616,0 -> 28 -> 28 -> 53 -> 53 -> 48 -> 48 -> 65 -> 65 -> 50 -> 50 -> 62 -> 62 -> 75 -> 75 -> 45 -> 45 -> 52 -> 52 -> 0
9,57485.2709,1035.0000,107.2133,9,1526.6731,0 -> 57 -> 57 -> 63 -> 63 -> 69 -> 69 -> 27 -> 27 -> 34 -> 34 -> 68 -> 68 -> 60 -> 60 -> 18 -> 18 -> 41 -> 41 -> 0
10,68831.6954,1454.0000,106.7067,9,1652.7550,0 -> 23 -> 23 -> 9 -> 9 -> 37 -> 37 -> 54 -> 54 -> 38 -> 38 -> 22 -> 22 -> 3 -> 3 -> 8 -> 8 -> 19 -> 19 -> 0
11,58833.3868,824.0000,114.6000,9,1413.5007,0 -> 57 -> 57 -> 47 -> 47 -> 49 -> 49 -> 16 -> 16 -> 46 -> 46 -> 13 -> 13 -> 21 -> 21 -> 42 -> 42 -> 70 -> 70 -> 0
12,41957.4205,846.0000,122.2000,9,1136.6874,0 -> 28 -> 28 -> 53 -> 53 -> 48 -> 48 -> 65 -> 65 -> 50 -> 50 -> 55 -> 55 -> 36 -> 36 -> 20 -> 20 -> 17 -> 17 -> 0
13,69506.6290,1259.0000,124.2933,9,1690.7815,0 -> 57 -> 57 -> 63 -> 63 -> 69 -> 69 -> 29 -> 29 -> 56 -> 56 -> 27 -> 27 -> 71 -> 71 -> 5 -> 5 -> 15 -> 15 -> 0
14,121449.0951,1986.0000,116.6933,9,2560.9106,0 -> 61 -> 61 -> 64 -> 64 -> 40 -> 40 -> 6 -> 6 -> 11 -> 11 -> 30 -> 30 -> 74 -> 74 -> 10 -> 10 -> 58 -> 58 -> 0
