heuristic,n,L,rounds,total_sec,mean_sec_round,median_sec_round
nn,50,600,30,0.872,0.0291,0.0285
nn,50,800,30,0.869,0.0290,0.0287
nn,50,1000,30,0.901,0.0300,0.0299
nn,75,600,30,0.935,0.0312,0.0308
nn,75,800,30,0.939,0.0313,0.0310
nn,75,1000,30,0.956,0.0319,0.0317
nn,100,600,30,1.086,0.0362,0.0359
nn,100,800,30,1.057,0.0352,0.0347
nn,100,1000,30,0.984,0.0328,0.0329
nn,150,600,30,1.291,0.0430,0.0432
nn,150,800,30,1.265,0.0422,0.0430
nn,150,1000,30,1.253,0.0418,0.0419
nn,200,600,30,1.460,0.0487,0.0482
nn,200,800,30,1.486,0.0495,0.0491
nn,200,1000,30,1.511,0.0504,0.0487
aoi_greedy,50,600,30,0.881,0.0294,0.0289
aoi_greedy,50,800,30,0.877,0.0292,0.0291
aoi_greedy,50,1000,30,0.888,0.0296,0.0295
aoi_greedy,75,600,30,0.971,0.0324,0.0320
aoi_greedy,75,800,30,0.967,0.0322,0.0319
aoi_greedy,75,1000,30,0.964,0.0321,0.0317
aoi_greedy,100,600,30,1.026,0.0342,0.0339
aoi_greedy,100,800,30,0.988,0.0329,0.0328
aoi_greedy,100,1000,30,1.028,0.0343,0.0333
aoi_greedy,150,600,30,1.228,0.0409,0.0406
aoi_greedy,150,800,30,1.244,0.0415,0.0417
aoi_greedy,150,1000,30,1.232,0.0411,0.0413
aoi_greedy,200,600,30,1.468,0.0489,0.0488
aoi_greedy,200,800,30,1.623,0.0541,0.0503
aoi_greedy,200,1000,30,1.672,0.0557,0.0531
score_greedy,50,600,30,0.977,0.0326,0.0324
score_greedy,50,800,30,0.956,0.0319,0.0316
score_greedy,50,1000,30,0.913,0.0304,0.0299
score_greedy,75,600,30,0.981,0.0327,0.0322
score_greedy,75,800,30,1.079,0.0360,0.0321
score_greedy,75,1000,30,1.025,0.0342,0.0334
score_greedy,100,600,30,1.085,0.0362,0.0358
score_greedy,100,800,30,1.049,0.0350,0.0348
score_greedy,100,1000,30,1.053,0.0351,0.0345
score_greedy,150,600,30,1.260,0.0420,0.0414
score_greedy,150,800,30,1.236,0.0412,0.0412
score_greedy,150,1000,30,1.256,0.0419,0.0413
score_greedy,200,600,30,1.491,0.0497,0.0494
score_greedy,200,800,30,1.517,0.0506,0.0498
score_greedy,200,1000,30,1.507,0.0502,0.0495
