round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,28290.8196,81.0000,10.0000,9,763.4465,0 -> 5 -> 5 -> 9 -> 9 -> 7 -> 7 -> 10 -> 10 -> 4 -> 4 -> 3 -> 3 -> 8 -> 8 -> 1 -> 1 -> 6 -> 6 -> 0
2,28278.3156,180.0000,10.1000,9,760.6968,0 -> 5 -> 5 -> 1 -> 1 -> 3 -> 3 -> 4 -> 4 -> 10 -> 10 -> 7 -> 7 -> 2 -> 2 -> 9 -> 9 -> 8 -> 8 -> 0
3,28485.3430,181.0000,10.1000,9,773.2178,0 -> 7 -> 7 -> 10 -> 10 -> 1 -> 1 -> 6 -> 6 -> 2 -> 2 -> 3 -> 3 -> 4 -> 4 -> 9 -> 9 -> 5 -> 5 -> 0
4,28411.0262,181.0000,10.1000,9,740.2858,0 -> 4 -> 4 -> 7 -> 7 -> 10 -> 10 -> 2 -> 2 -> 9 -> 9 -> 8 -> 8 -> 3 -> 3 -> 1 -> 1 -> 6 -> 6 -> 0
5,28386.4413,181.0000,10.1000,9,739.3236,0 -> 5 -> 5 -> 10 -> 10 -> 7 -> 7 -> 2 -> 2 -> 3 -> 3 -> 1 -> 1 -> 8 -> 8 -> 9 -> 9 -> 4 -> 4 -> 0
6,28298.0055,181.0000,10.1000,9,754.8303,0 -> 3 -> 3 -> 2 -> 2 -> 9 -> 9 -> 8 -> 8 -> 7 -> 7 -> 10 -> 10 -> 5 -> 5 -> 1 -> 1 -> 6 -> 6 -> 0
7,28279.4564,181.0000,10.1000,9,761.4343,0 -> 4 -> 4 -> 9 -> 9 -> 8 -> 8 -> 10 -> 10 -> 7 -> 7 -> 2 -> 2 -> 3 -> 3 -> 1 -> 1 -> 5 -> 5 -> 0
8,28487.0312,181.0000,10.1000,9,725.6023,0 -> 6 -> 6 -> 1 -> 1 -> 2 -> 2 -> 3 -> 3 -> 8 -> 8 -> 10 -> 10 -> 7 -> 7 -> 9 -> 9 -> 4 -> 4 -> 0
9,28526.0405,181.0000,10.1000,9,717.5702,0 -> 6 -> 6 -> 10 -> 10 -> 1 -> 1 -> 5 -> 5 -> 9 -> 9 -> 8 -> 8 -> 7 -> 7 -> 2 -> 2 -> 3 -> 3 -> 0
10,28636.7267,181.0000,10.1000,9,693.9630,0 -> 4 -> 4 -> 10 -> 10 -> 9 -> 9 -> 8 -> 8 -> 7 -> 7 -> 2 -> 2 -> 6 -> 6 -> 1 -> 1 -> 5 -> 5 -> 0
11,28500.3273,181.0000,10.1000,9,713.9326,0 -> 2 -> 2 -> 7 -> 7 -> 10 -> 10 -> 4 -> 4 -> 6 -> 6 -> 1 -> 1 -> 9 -> 9 -> 8 -> 8 -> 3 -> 3 -> 0
12,28370.4508,181.0000,10.1000,9,742.2945,0 -> 8 -> 8 -> 9 -> 9 -> 4 -> 4 -> 10 -> 10 -> 7 -> 7 -> 2 -> 2 -> 6 -> 6 -> 1 -> 1 -> 5 -> 5 -> 0
13,28412.0062,181.0000,10.1000,9,787.9551,0 -> 6 -> 6 -> 1 -> 1 -> 10 -> 10 -> 4 -> 4 -> 9 -> 9 -> 8 -> 8 -> 3 -> 3 -> 2 -> 2 -> 7 -> 7 -> 0
