round,sensor_id,aoi_before,aoi_after,visited
1,1,0,7,1
1,2,0,3,1
1,3,0,15,1
1,4,0,19,0
1,5,0,19,0
1,6,0,17,1
1,7,0,19,0
1,8,0,11,1
1,9,0,13,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,9,1
1,15,0,19,0
1,16,0,19,0
1,17,0,5,1
1,18,0,19,0
1,19,0,1,1
1,20,0,19,0
2,1,7,26,0
2,2,3,22,0
2,3,15,34,0
2,4,19,17,1
2,5,19,11,1
2,6,17,1,1
2,7,19,15,1
2,8,11,30,0
2,9,13,32,0
2,10,19,38,0
2,11,19,5,1
2,12,19,38,0
2,13,19,38,0
2,14,9,28,0
2,15,19,13,1
2,16,19,7,1
2,17,5,24,0
2,18,19,9,1
2,19,1,20,0
2,20,19,3,1
3,1,26,7,1
3,2,22,1,1
3,3,34,17,1
3,4,17,36,0
3,5,11,30,0
3,6,1,20,0
3,7,15,34,0
3,8,30,3,1
3,9,32,9,1
3,10,38,13,1
3,11,5,24,0
3,12,38,15,1
3,13,38,11,1
3,14,28,5,1
3,15,13,32,0
3,16,7,26,0
3,17,24,43,0
3,18,9,28,0
3,19,20,39,0
3,20,3,22,0
4,1,7,26,0
4,2,1,20,0
4,3,17,36,0
4,4,36,1,1
4,5,30,11,1
4,6,20,39,0
4,7,34,15,1
4,8,3,22,0
4,9,9,28,0
4,10,13,32,0
4,11,24,43,0
4,12,15,34,0
4,13,11,30,0
4,14,5,24,0
4,15,32,7,1
4,16,26,5,1
4,17,43,9,1
4,18,28,13,1
4,19,39,17,1
4,20,22,3,1
5,1,26,11,1
5,2,20,39,0
5,3,36,17,1
5,4,1,20,0
5,5,11,30,0
5,6,39,1,1
5,7,15,34,0
5,8,22,13,1
5,9,28,15,1
5,10,32,3,1
5,11,43,9,1
5,12,34,5,1
5,13,30,7,1
5,14,24,43,0
5,15,7,26,0
5,16,5,24,0
5,17,9,28,0
5,18,13,32,0
5,19,17,36,0
5,20,3,22,0
6,1,11,30,0
6,2,39,1,1
6,3,17,36,0
6,4,20,39,0
6,5,30,11,1
6,6,1,20,0
6,7,34,15,1
6,8,13,32,0
6,9,15,34,0
6,10,3,22,0
6,11,9,28,0
6,12,5,24,0
6,13,7,26,0
6,14,43,13,1
6,15,26,5,1
6,16,24,7,1
6,17,28,3,1
6,18,32,9,1
6,19,36,17,1
6,20,22,41,0
7,1,30,11,1
7,2,1,20,0
7,3,36,17,1
7,4,39,1,1
7,5,11,30,0
7,6,20,39,0
7,7,15,34,0
7,8,32,13,1
7,9,34,15,1
7,10,22,41,0
7,11,28,7,1
7,12,24,9,1
7,13,26,5,1
7,14,13,32,0
7,15,5,24,0
7,16,7,26,0
7,17,3,22,0
7,18,9,28,0
7,19,17,36,0
7,20,41,3,1
8,1,11,30,0
8,2,20,39,0
8,3,17,36,0
8,4,1,20,0
8,5,30,7,1
8,6,39,17,1
8,7,34,3,1
8,8,13,32,0
8,9,15,34,0
8,10,41,15,1
8,11,7,26,0
8,12,9,28,0
8,13,5,24,0
8,14,32,5,1
8,15,24,11,1
8,16,26,13,1
8,17,22,41,0
8,18,28,9,1
8,19,36,1,1
8,20,3,22,0
9,1,30,11,1
9,2,39,17,1
9,3,36,1,1
9,4,20,39,0
9,5,7,26,0
9,6,17,36,0
9,7,3,22,0
9,8,32,15,1
9,9,34,9,1
9,10,15,34,0
9,11,26,5,1
9,12,28,7,1
9,13,24,43,0
9,14,5,24,0
9,15,11,30,0
9,16,13,32,0
9,17,41,13,1
9,18,9,28,0
9,19,1,20,0
9,20,22,3,1
10,1,11,30,0
10,2,17,36,0
10,3,1,20,0
10,4,39,1,1
10,5,26,7,1
10,6,36,17,1
10,7,22,3,1
10,8,15,34,0
10,9,9,28,0
10,10,34,15,1
10,11,5,24,0
10,12,7,26,0
10,13,43,13,1
10,14,24,43,0
10,15,30,9,1
10,16,32,11,1
10,17,13,32,0
10,18,28,5,1
10,19,20,39,0
10,20,3,22,0
11,1,30,9,1
11,2,36,17,1
11,3,20,39,0
11,4,1,20,0
11,5,7,26,0
11,6,17,36,0
11,7,3,22,0
11,8,34,13,1
11,9,28,3,1
11,10,15,34,0
11,11,24,7,1
11,12,26,5,1
11,13,13,32,0
11,14,43,11,1
11,15,9,28,0
11,16,11,30,0
11,17,32,15,1
11,18,5,24,0
11,19,39,1,1
11,20,22,41,0
12,1,9,28,0
12,2,17,36,0
12,3,39,17,1
12,4,20,39,0
12,5,26,15,1
12,6,36,1,1
12,7,22,41,0
12,8,13,32,0
12,9,3,22,0
12,10,34,5,1
12,11,7,26,0
12,12,5,24,0
12,13,32,7,1
12,14,11,30,0
12,15,28,11,1
12,16,30,9,1
12,17,15,34,0
12,18,24,13,1
12,19,1,20,0
12,20,41,3,1
13,1,28,11,1
13,2,36,1,1
13,3,17,36,0
13,4,39,17,1
13,5,15,34,0
13,6,1,20,0
13,7,41,5,1
13,8,32,7,1
13,9,22,15,1
13,10,5,24,0
13,11,26,13,1
13,12,24,43,0
13,13,7,26,0
13,14,30,9,1
13,15,11,30,0
13,16,9,28,0
13,17,34,3,1
13,18,13,32,0
13,19,20,39,0
13,20,3,22,0
14,1,11,30,0
14,2,1,20,0
14,3,36,17,1
14,4,17,36,0
14,5,34,3,1
14,6,20,39,0
14,7,5,24,0
14,8,7,26,0
14,9,15,34,0
14,10,24,43,0
14,11,13,32,0
14,12,43,11,1
14,13,26,13,1
14,14,9,28,0
14,15,30,7,1
14,16,28,9,1
14,17,3,22,0
14,18,32,5,1
14,19,39,1,1
14,20,22,15,1
15,1,30,7,1
15,2,20,39,0
15,3,17,36,0
15,4,36,17,1
15,5,3,22,0
15,6,39,1,1
15,7,24,11,1
15,8,26,13,1
15,9,34,15,1
15,10,43,3,1
15,11,32,5,1
15,12,11,30,0
15,13,13,32,0
15,14,28,9,1
15,15,7,26,0
15,16,9,28,0
15,17,22,41,0
15,18,5,24,0
15,19,1,20,0
15,20,15,34,0
16,1,7,26,0
16,2,39,17,1
16,3,36,1,1
16,4,17,36,0
16,5,22,13,1
16,6,1,20,0
16,7,11,30,0
16,8,13,32,0
16,9,15,34,0
16,10,3,22,0
16,11,5,24,0
16,12,30,7,1
16,13,32,5,1
16,14,9,28,0
16,15,26,11,1
16,16,28,9,1
16,17,41,15,1
16,18,24,43,0
16,19,20,39,0
16,20,34,3,1
17,1,26,7,1
17,2,17,36,0
17,3,1,20,0
17,4,36,17,1
17,5,13,32,0
17,6,20,39,0
17,7,30,3,1
17,8,32,11,1
17,9,34,15,1
17,10,22,41,0
17,11,24,13,1
17,12,7,26,0
17,13,5,24,0
17,14,28,9,1
17,15,11,30,0
17,16,9,28,0
17,17,15,34,0
17,18,43,5,1
17,19,39,1,1
17,20,3,22,0
18,1,7,26,0
18,2,36,1,1
18,3,20,39,0
18,4,17,36,0
18,5,32,5,1
18,6,39,17,1
18,7,3,22,0
18,8,11,30,0
18,9,15,34,0
18,10,41,13,1
18,11,13,32,0
18,12,26,11,1
18,13,24,43,0
18,14,9,28,0
18,15,30,7,1
18,16,28,9,1
18,17,34,3,1
18,18,5,24,0
18,19,1,20,0
18,20,22,15,1
19,1,26,9,1
19,2,1,20,0
19,3,39,1,1
19,4,36,17,1
19,5,5,24,0
19,6,17,36,0
19,7,22,3,1
19,8,30,5,1
19,9,34,15,1
19,10,13,32,0
19,11,32,11,1
19,12,11,30,0
19,13,43,13,1
19,14,28,7,1
19,15,7,26,0
19,16,9,28,0
19,17,3,22,0
19,18,24,43,0
19,19,20,39,0
19,20,15,34,0
20,1,9,28,0
