round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,28376.7015,81.0000,14.5000,9,1182.1203,0 -> 19 -> 19 -> 2 -> 2 -> 17 -> 17 -> 1 -> 1 -> 14 -> 14 -> 8 -> 8 -> 9 -> 9 -> 3 -> 3 -> 6 -> 6 -> 0
2,31080.2280,250.0000,20.5500,9,1611.1506,0 -> 4 -> 4 -> 12 -> 12 -> 16 -> 16 -> 13 -> 13 -> 11 -> 11 -> 10 -> 10 -> 20 -> 20 -> 7 -> 7 -> 19 -> 19 -> 0
3,40771.1543,369.0006,20.6500,9,1690.2949,0 -> 8 -> 8 -> 15 -> 15 -> 5 -> 5 -> 1 -> 1 -> 17 -> 17 -> 18 -> 18 -> 2 -> 2 -> 9 -> 9 -> 14 -> 14 -> 0
4,48255.9078,371.0006,20.6500,9,2302.6739,0 -> 12 -> 12 -> 20 -> 20 -> 3 -> 3 -> 10 -> 10 -> 6 -> 6 -> 13 -> 13 -> 4 -> 4 -> 16 -> 16 -> 11 -> 11 -> 0
5,41185.5466,371.0017,20.6500,9,1700.3592,0 -> 8 -> 8 -> 17 -> 17 -> 2 -> 2 -> 19 -> 19 -> 5 -> 5 -> 15 -> 15 -> 7 -> 7 -> 18 -> 18 -> 1 -> 1 -> 0
6,42469.2098,371.0000,20.6500,9,2353.0589,0 -> 9 -> 9 -> 12 -> 12 -> 4 -> 4 -> 10 -> 10 -> 6 -> 6 -> 20 -> 20 -> 3 -> 3 -> 14 -> 14 -> 13 -> 13 -> 0
7,45087.1570,371.0007,20.6500,9,2082.2271,0 -> 5 -> 5 -> 15 -> 15 -> 11 -> 11 -> 2 -> 2 -> 7 -> 7 -> 19 -> 19 -> 8 -> 8 -> 17 -> 17 -> 16 -> 16 -> 0
8,34006.2411,371.0001,20.6500,9,1577.4174,0 -> 20 -> 20 -> 1 -> 1 -> 18 -> 18 -> 12 -> 12 -> 10 -> 10 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 6 -> 6 -> 0
9,45519.5150,371.0007,20.6500,9,2214.6219,0 -> 7 -> 7 -> 19 -> 19 -> 11 -> 11 -> 2 -> 2 -> 5 -> 5 -> 14 -> 14 -> 8 -> 8 -> 13 -> 13 -> 15 -> 15 -> 0
10,48325.8010,371.0006,20.6500,9,2494.7732,0 -> 18 -> 18 -> 10 -> 10 -> 17 -> 17 -> 16 -> 16 -> 20 -> 20 -> 9 -> 9 -> 12 -> 12 -> 4 -> 4 -> 1 -> 1 -> 0
11,38201.5123,371.0005,20.6500,9,1580.1161,0 -> 14 -> 14 -> 5 -> 5 -> 2 -> 2 -> 7 -> 7 -> 8 -> 8 -> 11 -> 11 -> 19 -> 19 -> 6 -> 6 -> 3 -> 3 -> 0
12,45302.8670,371.0005,20.6500,9,2114.0463,0 -> 15 -> 15 -> 9 -> 9 -> 17 -> 17 -> 16 -> 16 -> 10 -> 10 -> 18 -> 18 -> 12 -> 12 -> 20 -> 20 -> 13 -> 13 -> 0
13,41835.6937,371.0009,20.6500,9,2260.5618,0 -> 14 -> 14 -> 2 -> 2 -> 11 -> 11 -> 7 -> 7 -> 1 -> 1 -> 4 -> 4 -> 5 -> 5 -> 8 -> 8 -> 19 -> 19 -> 0
14,32092.0063,371.0006,20.6500,9,1559.1546,0 -> 3 -> 3 -> 10 -> 10 -> 12 -> 12 -> 9 -> 9 -> 17 -> 17 -> 15 -> 15 -> 16 -> 16 -> 18 -> 18 -> 6 -> 6 -> 0
15,46511.4834,371.0008,20.6500,9,2509.3733,0 -> 2 -> 2 -> 14 -> 14 -> 13 -> 13 -> 4 -> 4 -> 5 -> 5 -> 1 -> 1 -> 20 -> 20 -> 7 -> 7 -> 11 -> 11 -> 0
16,45670.8543,371.0002,20.6500,9,2612.4894,0 -> 9 -> 9 -> 17 -> 17 -> 16 -> 16 -> 19 -> 19 -> 8 -> 8 -> 10 -> 10 -> 15 -> 15 -> 3 -> 3 -> 12 -> 12 -> 0
17,40205.6834,371.0004,20.6500,9,2120.0912,0 -> 5 -> 5 -> 20 -> 20 -> 1 -> 1 -> 14 -> 14 -> 13 -> 13 -> 4 -> 4 -> 6 -> 6 -> 18 -> 18 -> 2 -> 2 -> 0
18,37488.2862,371.0008,20.6500,9,1790.7004,0 -> 10 -> 10 -> 17 -> 17 -> 8 -> 8 -> 7 -> 7 -> 9 -> 9 -> 11 -> 11 -> 16 -> 16 -> 15 -> 15 -> 19 -> 19 -> 0
19,42825.4828,371.0000,20.6500,9,2128.4861,0 -> 12 -> 12 -> 3 -> 3 -> 20 -> 20 -> 1 -> 1 -> 5 -> 5 -> 14 -> 14 -> 4 -> 4 -> 6 -> 6 -> 13 -> 13 -> 0
20,42587.1592,371.0006,20.6500,9,2357.5724,0 -> 18 -> 18 -> 2 -> 2 -> 11 -> 11 -> 8 -> 8 -> 10 -> 10 -> 17 -> 17 -> 16 -> 16 -> 7 -> 7 -> 9 -> 9 -> 0
21,40702.6927,371.0009,20.6500,9,2185.3773,0 -> 19 -> 19 -> 20 -> 20 -> 5 -> 5 -> 4 -> 4 -> 15 -> 15 -> 14 -> 14 -> 1 -> 1 -> 3 -> 3 -> 12 -> 12 -> 0
