round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,19,0
1,3,0,7,1
1,4,0,19,0
1,5,0,19,0
1,6,0,19,0
1,7,0,9,1
1,8,0,19,0
1,9,0,1,1
1,10,0,19,0
1,11,0,19,0
1,12,0,3,1
1,13,0,13,1
1,14,0,19,0
1,15,0,11,1
1,16,0,19,0
1,17,0,15,1
1,18,0,5,1
1,19,0,17,1
1,20,0,19,0
1,21,0,19,0
1,22,0,19,0
1,23,0,19,0
1,24,0,19,0
1,25,0,19,0
2,1,19,11,1
2,2,19,38,0
2,3,7,26,0
2,4,19,38,0
2,5,19,1,1
2,6,19,3,1
2,7,9,28,0
2,8,19,38,0
2,9,1,20,0
2,10,19,13,1
2,11,19,38,0
2,12,3,22,0
2,13,13,32,0
2,14,19,38,0
2,15,11,30,0
2,16,19,38,0
2,17,15,34,0
2,18,5,24,0
2,19,17,36,0
2,20,19,5,1
2,21,19,38,0
2,22,19,7,1
2,23,19,15,1
2,24,19,9,1
2,25,19,17,1
3,1,11,30,0
3,2,38,17,1
3,3,26,45,0
3,4,38,7,1
3,5,1,20,0
3,6,3,22,0
3,7,28,47,0
3,8,38,5,1
3,9,20,39,0
3,10,13,32,0
3,11,38,15,1
3,12,22,41,0
3,13,32,51,0
3,14,38,11,1
3,15,30,49,0
3,16,38,13,1
3,17,34,9,1
3,18,24,43,0
3,19,36,1,1
3,20,5,24,0
3,21,38,3,1
3,22,7,26,0
3,23,15,34,0
3,24,9,28,0
3,25,17,36,0
4,1,30,49,0
4,2,17,36,0
4,3,45,13,1
4,4,7,26,0
4,5,20,39,0
4,6,22,41,0
4,7,47,17,1
4,8,5,24,0
4,9,39,1,1
4,10,32,51,0
4,11,15,34,0
4,12,41,11,1
4,13,51,9,1
4,14,11,30,0
4,15,49,5,1
4,16,13,32,0
4,17,9,28,0
4,18,43,15,1
4,19,1,20,0
4,20,24,43,0
4,21,3,22,0
4,22,26,45,0
4,23,34,7,1
4,24,28,47,0
4,25,36,3,1
5,1,49,5,1
5,2,36,1,1
5,3,13,32,0
5,4,26,45,0
5,5,39,17,1
5,6,41,11,1
5,7,17,36,0
5,8,24,43,0
5,9,1,20,0
5,10,51,3,1
5,11,34,13,1
5,12,11,30,0
5,13,9,28,0
5,14,30,49,0
5,15,5,24,0
5,16,32,51,0
5,17,28,47,0
5,18,15,34,0
5,19,20,39,0
5,20,43,9,1
5,21,22,41,0
5,22,45,15,1
