round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,62221.9543,81.0000,18.1000,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
2,63712.5492,252.0000,34.4900,9,1303.5790,0 -> 83 -> 83 -> 11 -> 11 -> 44 -> 44 -> 55 -> 55 -> 1 -> 1 -> 74 -> 74 -> 99 -> 99 -> 49 -> 49 -> 97 -> 97 -> 0
3,66776.2152,423.0000,49.1700,9,1638.8730,0 -> 63 -> 63 -> 19 -> 19 -> 95 -> 95 -> 32 -> 32 -> 28 -> 28 -> 38 -> 38 -> 2 -> 2 -> 8 -> 8 -> 41 -> 41 -> 0
4,72741.8017,594.0000,62.1400,9,1817.6995,0 -> 25 -> 25 -> 48 -> 48 -> 30 -> 30 -> 92 -> 92 -> 51 -> 51 -> 77 -> 77 -> 57 -> 57 -> 84 -> 84 -> 47 -> 47 -> 0
5,87056.1650,765.0000,73.4000,9,2334.1109,0 -> 42 -> 42 -> 76 -> 76 -> 40 -> 40 -> 89 -> 89 -> 9 -> 9 -> 17 -> 17 -> 75 -> 75 -> 13 -> 13 -> 61 -> 61 -> 0
6,80293.7578,936.0000,82.9500,9,1947.3325,0 -> 67 -> 67 -> 20 -> 20 -> 27 -> 27 -> 18 -> 18 -> 33 -> 33 -> 50 -> 50 -> 24 -> 24 -> 22 -> 22 -> 6 -> 6 -> 0
7,87057.2485,1107.0000,90.7900,9,2179.7452,0 -> 31 -> 31 -> 87 -> 87 -> 43 -> 43 -> 65 -> 65 -> 5 -> 5 -> 52 -> 52 -> 73 -> 73 -> 100 -> 100 -> 35 -> 35 -> 0
8,99631.0858,1278.0000,96.9200,9,2509.2790,0 -> 80 -> 80 -> 16 -> 16 -> 4 -> 4 -> 45 -> 45 -> 91 -> 91 -> 66 -> 66 -> 39 -> 39 -> 81 -> 81 -> 62 -> 62 -> 0
9,116011.0960,1449.0000,101.3400,9,3036.4310,0 -> 15 -> 15 -> 85 -> 85 -> 96 -> 96 -> 58 -> 58 -> 29 -> 29 -> 70 -> 70 -> 88 -> 88 -> 23 -> 23 -> 26 -> 26 -> 0
10,115625.5587,1620.0000,104.0500,9,3258.1492,0 -> 71 -> 71 -> 69 -> 69 -> 36 -> 36 -> 68 -> 68 -> 93 -> 93 -> 46 -> 46 -> 59 -> 59 -> 72 -> 72 -> 60 -> 60 -> 0
11,130759.7537,1791.0000,105.0500,9,2773.1289,0 -> 94 -> 94 -> 82 -> 82 -> 86 -> 86 -> 14 -> 14 -> 90 -> 90 -> 34 -> 34 -> 10 -> 10 -> 64 -> 64 -> 79 -> 79 -> 0
12,62221.9543,1872.0000,105.2400,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
13,63712.5492,1872.0000,105.4300,9,1303.5790,0 -> 83 -> 83 -> 11 -> 11 -> 44 -> 44 -> 55 -> 55 -> 1 -> 1 -> 74 -> 74 -> 99 -> 99 -> 49 -> 49 -> 97 -> 97 -> 0
14,136829.9906,1928.0000,105.0600,9,3163.3407,0 -> 63 -> 63 -> 19 -> 19 -> 95 -> 95 -> 32 -> 32 -> 28 -> 28 -> 38 -> 38 -> 2 -> 2 -> 8 -> 8 -> 98 -> 98 -> 0
15,74833.3433,1891.0000,105.0600,9,2257.8148,0 -> 41 -> 41 -> 25 -> 25 -> 48 -> 48 -> 30 -> 30 -> 92 -> 92 -> 51 -> 51 -> 77 -> 77 -> 57 -> 57 -> 84 -> 84 -> 0
16,93203.6182,1891.0000,105.0600,9,2932.4487,0 -> 47 -> 47 -> 42 -> 42 -> 76 -> 76 -> 40 -> 40 -> 89 -> 89 -> 9 -> 9 -> 17 -> 17 -> 75 -> 75 -> 13 -> 13 -> 0
17,117710.2434,1891.0000,105.0600,9,3205.2680,0 -> 61 -> 61 -> 67 -> 67 -> 20 -> 20 -> 27 -> 27 -> 18 -> 18 -> 33 -> 33 -> 50 -> 50 -> 24 -> 24 -> 22 -> 22 -> 0
18,91574.7900,1891.0000,105.0600,9,2602.2003,0 -> 6 -> 6 -> 31 -> 31 -> 87 -> 87 -> 43 -> 43 -> 65 -> 65 -> 5 -> 5 -> 52 -> 52 -> 73 -> 73 -> 100 -> 100 -> 0
19,106506.0027,1891.0000,105.0600,9,3004.6877,0 -> 35 -> 35 -> 80 -> 80 -> 16 -> 16 -> 4 -> 4 -> 45 -> 45 -> 91 -> 91 -> 66 -> 66 -> 39 -> 39 -> 81 -> 81 -> 0
20,131929.5416,1891.0000,105.0600,9,3637.4187,0 -> 62 -> 62 -> 15 -> 15 -> 85 -> 85 -> 96 -> 96 -> 58 -> 58 -> 29 -> 29 -> 70 -> 70 -> 88 -> 88 -> 23 -> 23 -> 0
21,131078.5339,1891.0000,105.0600,9,4443.0613,0 -> 71 -> 71 -> 26 -> 26 -> 69 -> 69 -> 36 -> 36 -> 68 -> 68 -> 93 -> 93 -> 46 -> 46 -> 59 -> 59 -> 72 -> 72 -> 0
22,129290.2091,1847.0000,105.5000,9,3044.8844,0 -> 60 -> 60 -> 94 -> 94 -> 82 -> 82 -> 86 -> 86 -> 14 -> 14 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 0
23,112728.0805,1832.0000,106.0900,9,3083.7601,0 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 90 -> 90 -> 53 -> 53 -> 21 -> 21 -> 83 -> 83 -> 11 -> 11 -> 44 -> 44 -> 0
24,109414.1667,1952.0000,105.4800,9,3293.5894,0 -> 55 -> 55 -> 79 -> 79 -> 34 -> 34 -> 64 -> 64 -> 1 -> 1 -> 74 -> 74 -> 99 -> 99 -> 49 -> 49 -> 97 -> 97 -> 0
25,102510.3835,1933.0000,105.0600,9,3384.1339,0 -> 63 -> 63 -> 19 -> 19 -> 10 -> 10 -> 95 -> 95 -> 32 -> 32 -> 28 -> 28 -> 38 -> 38 -> 2 -> 2 -> 8 -> 8 -> 0
26,95304.3766,1891.0000,105.0600,9,3708.4598,0 -> 41 -> 41 -> 25 -> 25 -> 48 -> 48 -> 30 -> 30 -> 98 -> 98 -> 92 -> 92 -> 51 -> 51 -> 77 -> 77 -> 57 -> 57 -> 0
27,92261.3087,1891.0000,105.0600,9,2860.4411,0 -> 84 -> 84 -> 47 -> 47 -> 42 -> 42 -> 76 -> 76 -> 40 -> 40 -> 89 -> 89 -> 9 -> 9 -> 17 -> 17 -> 75 -> 75 -> 0
28,116552.7283,1891.0000,105.0600,9,3192.7632,0 -> 13 -> 13 -> 61 -> 61 -> 67 -> 67 -> 20 -> 20 -> 27 -> 27 -> 18 -> 18 -> 33 -> 33 -> 50 -> 50 -> 24 -> 24 -> 0
