round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,123182.6730,81.0000,18.1000,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
2,123182.6730,162.0000,35.3900,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
3,123182.6730,162.0000,52.6800,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
4,123182.6730,162.0000,69.9700,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
5,123182.6730,162.0000,87.2600,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
6,123182.6730,162.0000,104.5500,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
7,123182.6730,162.0000,121.8400,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
8,123182.6730,162.0000,139.1300,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
9,123182.6730,162.0000,156.4200,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
10,123182.6730,162.0000,173.7100,9,1537.6411,0 -> 93 -> 93 -> 89 -> 89 -> 21 -> 21 -> 61 -> 61 -> 16 -> 16 -> 73 -> 73 -> 98 -> 98 -> 78 -> 78 -> 77 -> 77 -> 0
