round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,96892.4270,81.0000,17.2000,9,2407.7878,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 0
2,109513.6933,240.0000,31.2200,9,3107.0025,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 27 -> 27 -> 19 -> 19 -> 40 -> 40 -> 0
3,128305.3291,371.0000,42.6200,9,3536.2962,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 22 -> 22 -> 29 -> 29 -> 34 -> 34 -> 25 -> 25 -> 6 -> 6 -> 0
4,96892.4270,327.0000,54.9000,9,2407.7878,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 0
5,109833.2909,660.0000,60.5200,9,4048.4559,0 -> 20 -> 20 -> 48 -> 48 -> 10 -> 10 -> 2 -> 2 -> 40 -> 40 -> 19 -> 19 -> 18 -> 18 -> 38 -> 38 -> 27 -> 27 -> 0
6,140523.4768,666.0000,66.0200,9,3953.2766,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 41 -> 41 -> 14 -> 14 -> 39 -> 39 -> 0
7,128305.3291,567.0000,73.5000,9,3536.2962,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 22 -> 22 -> 29 -> 29 -> 34 -> 34 -> 25 -> 25 -> 6 -> 6 -> 0
8,117354.0691,728.0000,77.7600,9,4288.2998,0 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 17 -> 17 -> 27 -> 27 -> 47 -> 47 -> 7 -> 7 -> 44 -> 44 -> 10 -> 10 -> 0
9,108846.0459,721.0000,82.1600,9,3651.8312,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 20 -> 20 -> 48 -> 48 -> 23 -> 23 -> 2 -> 2 -> 40 -> 40 -> 0
10,103443.2935,624.0000,88.5000,9,4081.3332,0 -> 32 -> 32 -> 42 -> 42 -> 19 -> 19 -> 18 -> 18 -> 38 -> 38 -> 25 -> 25 -> 34 -> 34 -> 6 -> 6 -> 22 -> 22 -> 0
11,96892.4270,529.0000,96.7400,9,2407.7878,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 0
12,130980.4226,574.0000,104.0800,9,5362.5211,0 -> 29 -> 29 -> 22 -> 22 -> 27 -> 27 -> 42 -> 42 -> 32 -> 32 -> 9 -> 9 -> 20 -> 20 -> 41 -> 41 -> 10 -> 10 -> 0
13,120395.9544,358.0000,115.7400,9,3283.6937,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 25 -> 25 -> 0
14,133228.9520,523.0000,124.1000,9,3852.0347,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 48 -> 48 -> 10 -> 10 -> 40 -> 40 -> 2 -> 2 -> 19 -> 19 -> 18 -> 18 -> 0
15,140505.7834,694.0000,129.0400,9,4028.0055,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 22 -> 22 -> 29 -> 29 -> 34 -> 34 -> 5 -> 5 -> 0
16,134550.0117,729.0000,133.2800,9,3779.9508,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 27 -> 27 -> 47 -> 47 -> 7 -> 7 -> 0
17,131301.5657,618.0000,139.7400,9,4015.3665,0 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 6 -> 6 -> 25 -> 25 -> 38 -> 38 -> 18 -> 18 -> 0
18,117629.1671,1043.0000,137.7000,9,4074.6294,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 20 -> 20 -> 14 -> 14 -> 39 -> 39 -> 41 -> 41 -> 44 -> 44 -> 10 -> 10 -> 0
19,115407.9790,481.0000,146.9000,9,3340.3130,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 22 -> 22 -> 29 -> 29 -> 34 -> 34 -> 25 -> 25 -> 0
20,109513.6933,643.0000,152.8600,9,3107.0025,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 27 -> 27 -> 19 -> 19 -> 40 -> 40 -> 0
21,139544.5591,628.0000,159.1200,9,4276.4052,0 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 48 -> 48 -> 10 -> 10 -> 2 -> 2 -> 18 -> 18 -> 0
22,140410.9656,637.0000,165.2000,9,4259.8426,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 20 -> 20 -> 41 -> 41 -> 14 -> 14 -> 39 -> 39 -> 7 -> 7 -> 47 -> 47 -> 0
23,117285.9176,559.0000,172.8400,9,3652.4037,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 22 -> 22 -> 29 -> 29 -> 6 -> 6 -> 34 -> 34 -> 0
24,138765.1298,774.0000,176.1800,9,3914.5929,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 27 -> 27 -> 19 -> 19 -> 23 -> 23 -> 0
25,128474.1875,597.0000,183.0600,9,3916.9635,0 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 38 -> 38 -> 18 -> 18 -> 25 -> 25 -> 34 -> 34 -> 0
26,135602.6642,652.0000,188.8400,9,3813.4568,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 40 -> 40 -> 2 -> 2 -> 10 -> 10 -> 48 -> 48 -> 41 -> 41 -> 14 -> 14 -> 0
27,114540.9664,585.0000,195.9600,9,4527.9217,0 -> 20 -> 20 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 27 -> 27 -> 19 -> 19 -> 17 -> 17 -> 22 -> 22 -> 29 -> 29 -> 0
28,137435.6758,517.0000,204.4400,9,3651.2719,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 8 -> 8 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 6 -> 6 -> 0
29,138613.9228,647.0000,210.3200,9,4031.7297,0 -> 15 -> 15 -> 12 -> 12 -> 49 -> 49 -> 9 -> 9 -> 42 -> 42 -> 32 -> 32 -> 7 -> 7 -> 44 -> 44 -> 47 -> 47 -> 0
30,115407.9790,460.0000,219.9400,9,3340.3130,0 -> 13 -> 13 -> 16 -> 16 -> 3 -> 3 -> 21 -> 21 -> 17 -> 17 -> 22 -> 22 -> 29 -> 29 -> 34 -> 34 -> 25 -> 25 -> 0
