id,x,y
001,1051.868,2387.629
002,346.751,3966.185
003,758.750,2346.728
004,3963.373,2816.204
005,2754.422,71.119
006,2582.882,1222.233
007,1786.445,2747.061
008,2878.673,3060.028
009,1572.943,2480.933
010,2135.153,1023.420
011,3812.911,2241.897
012,3184.936,1818.891
013,2319.704,2789.743
014,326.806,2314.939
015,3737.001,3822.693
016,2759.588,2392.337
017,2078.584,244.052
018,1368.205,1762.789
019,1487.361,275.269
020,1784.634,1517.157
021,107.312,618.629
022,802.545,665.391
023,2550.077,1835.441
024,1166.308,993.817
025,1125.562,126.770
026,234.847,495.494
027,3186.661,3867.032
028,3857.533,2655.779
029,1008.221,3470.482
030,1289.155,613.256
031,3864.788,465.762
032,3920.145,1815.909
033,1836.532,3085.371
034,1035.712,2155.570
035,2273.892,1989.077
036,1979.347,1141.978
037,3307.211,3573.140
038,1644.622,2029.351
039,352.904,2258.307
040,3081.814,1129.561
041,1372.873,2868.259
042,906.352,1208.238
043,1686.480,14.853
044,757.794,3346.095
045,190.105,3168.772
046,3790.976,1284.987
047,2951.810,1898.107
048,1087.127,1744.847
049,98.902,2196.016
050,1988.089,3441.159
