map_n,sensor_count,energy_mean,aoi_mean,distance_mean
100,5,26677.243743333333,5.0,1110.9007566666667
100,10,28394.18201,10.096666666666666,748.0903099999999
100,15,28491.372033333333,15.351103333333333,723.4798333333333
100,20,28477.531753333333,20.461666666666666,727.4469933333334
100,25,28392.72401,25.546666666666667,755.10807
100,30,28257.54393,30.56223333333333,787.8269833333333
200,5,26709.89711,5.0,1534.8323566666666
200,10,28226.998846666665,10.096666666666666,1015.3109199999999
200,15,28141.503836666667,15.324443333333333,1069.33501
200,20,28088.808559999998,20.458333333333332,1045.02691
200,25,28026.224,25.538666666666668,1029.8017966666666
200,30,28053.799170000002,30.540000000000003,1055.89341
400,5,27812.418499999996,5.0,2018.3908
400,10,29806.930466666665,10.096666666666666,1485.3301866666666
400,15,29640.59523,15.337773333333333,1391.2565033333333
400,20,30267.964156666665,20.478333333333335,1371.9800533333332
400,25,29297.99354,25.538666666666668,1306.4664933333333
400,30,30231.640170000002,29.89111,1373.9784466666667
600,5,37878.6639,5.0,2737.7603
600,10,40564.233146666666,10.096666666666666,2183.3526266666663
600,15,40969.879226666664,15.395536666666667,2139.09825
600,20,39463.40819,19.45962666666667,2122.13527
600,25,40446.180120000005,25.552000000000003,1980.9886533333333
600,30,38343.92530333333,30.579996666666666,1992.48726
800,5,46687.12426666667,5.0,3110.1649
800,10,55356.745879999995,10.096666666666666,2473.8398233333337
800,15,51184.12708333333,15.382206666666667,2561.25493
800,20,53035.650676666664,20.508333333333333,2416.980173333333
800,25,54872.70261666667,25.546666666666667,2388.433503333333
800,30,54750.53577333333,30.59776,2351.7596333333336
1000,5,118356.3745,5.0,4389.5495
1000,10,99549.80749,10.096666666666666,3714.2623366666667
1000,15,76379.90413,15.391093333333334,3180.78997
1000,20,87361.23108,20.495,3186.3441000000003
1000,25,83863.39524,25.538666666666668,3042.495933333333
1000,30,85875.79095666666,30.60443,3058.200783333333
