map_n,sensor_count,energy_mean,aoi_mean,distance_mean
100,5,27685.99674,5.0,896.36716
100,10,29330.96297666667,10.096666666666666,574.2167900000001
100,15,29378.560149999998,15.32,558.7710033333333
100,20,29490.43432,20.444999999999997,551.3728466666666
100,25,29336.58684,25.573333333333334,579.8326033333334
100,30,29381.836566666665,30.544446666666666,571.1243099999999
200,5,28243.33527666667,5.0,1572.7449733333333
200,10,29032.314566666668,10.096666666666666,1090.9429933333333
200,15,29338.656610000002,15.346666666666668,1138.3604733333334
200,20,29323.197969999997,20.233333333333334,1104.08673
200,25,29139.69931333333,25.52266666666667,1030.4939766666666
200,30,28999.934859999998,30.772226666666665,1154.47729
400,5,37078.829309999994,5.0,2613.6244866666666
400,10,39440.14885,10.096666666666666,2002.6697966666666
400,15,43099.54094333333,15.324443333333333,2247.69597
400,20,41689.355403333335,20.441666666666666,2086.9441300000003
400,25,41264.00833999999,25.574666666666666,2044.9845566666665
400,30,41069.04913000001,30.660003333333332,2087.6157166666667
600,5,109609.86120333333,5.8133333333333335,4320.9334733333335
600,10,103212.20846333333,10.110000000000001,3758.9859100000003
600,15,105809.02696,15.342223333333333,3818.406646666667
600,20,102018.24703666667,19.350849999999998,3658.239036666667
600,25,98292.13479,25.538666666666668,3649.3929533333335
600,30,98216.00486,30.82444333333333,3609.4717333333333
800,5,121070.76166666667,5.0,4977.538606666667
800,10,115295.53199333332,10.126666666666667,3517.53796
800,15,120975.91008999999,15.328886666666667,3846.4978600000004
800,20,118443.08646333333,20.793333333333333,3675.177313333333
800,25,118593.22964666666,25.696,3697.912243333333
800,30,116413.30352333334,30.96110666666667,3635.6638000000003
1000,5,121393.12934,5.0,4456.9767366666665
1000,10,127514.62846333333,10.156666666666666,4052.5948933333334
1000,15,125968.79176666666,15.439996666666667,3964.3576666666663
1000,20,120635.39201000001,21.084999999999997,3841.7529466666665
1000,25,124621.33858666666,26.361333333333334,3964.844493333333
1000,30,118265.37519333333,31.59778,3891.2756099999997
